,text
10,"The triple-cation mixed halide perovskite Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3 emerges as one of the most promising candidates for photovoltaics due to superior optoelectronic properties, but the thermal stability is still a major challenge for the viability of perovskite solar cells towards commercialization. Herein, we firstly explore the thermal response of the photovoltaic performances to access device physical changes. It is shown that the efficiency loss originates from decreased charge mobility, increased trap density and generation of PbI2 charge recombination centers near the interface. In-depth analysis of evolutions in morphology, chemical composition, dynamic and electronic structure of the perovskite layer at the nanometer scales indicates that it is initial dangling bonds and vacancies on the imperfect surfaces decrease the activation energy and cause the perovskite decomposition in a layer-by-layer pathway sequentially from the film surface to bulk. Based on the results, a strategy of surface passivation to improve the thermal stability is demonstrated and discussed. This work for the first time provides insights into the physical and chemical change of such triple-cation perovskite and indicates that more effort should be invested in surface treatment for enhancing perovskite device stability"
11,"Long-term stability is crucial for the future application of perovskite solar cells, a promising low-cost photovoltaic technology that has rapidly advanced in the recent years. Here, we designed a nanostructured carbon layer to suppress the diffusion of ions/molecules within perovskite solar cells, an important degradation process in the device. Furthermore, this nanocarbon layer benefited the diffusion of electron charge carriers to enable a high-energy conversion efficiency. Finally, the efficiency on a perovskite solar cell with an aperture area of 1.02 cm2, after a thermal aging test at 85 °C for over 500 h, or light soaking for 1,000 h, was stable of over 15% during the entire test. The present diffusion engineering of ions/molecules and photo generated charges paves a way to realizing long-term stable and highly efficient perovskite solar cells."
12,"Perovskite solar cells have received worldwide interests due to swiftly improved efficiency but the poor stability of the perovskite component hampers the device fabrication under normal condition. Herein, we develop a reliable nonstoichiometric acid–base reaction route to stable perovskite films by intermediate chemistry and technology. Perovskite thin-film prepared by nonstoichiometric acid–base reaction route is stable for two months with negligible PbI2-impurity under ∼65% humidity, whereas other perovskites prepared by traditional methods degrade distinctly after 2 weeks. Route optimization involves the reaction of PbI2 with excess HI to generate HPbI3, which subsequently undergoes reaction with excess CH3NH2 to deliver CH3NH3PbI3 thin films. High quality of intermediate HPbI3 and CH3NH2 abundance are two important factors to stable CH3NH3PbI3 perovskite. Excess volatile acid/base not only affords full conversion in nonstoichiometric acid–base reaction route but also permits its facile removal for stoichiometric purification, resulting in average efficiency of 16.1% in forward/reverse scans."
13,"All-inorganic perovskites have aroused great interest recently because of their prominent photoelectric properties and thermal stability for stable, highly efficient perovskite solar cells. Herein, a two-step multiple spin coating method has been developed for the first time to prepare cesium halide perovskite films. In particular, dimethyl sulfoxide (DMSO) is introduced into CsBr/methanol precursor solution to increase the solubility of CsBr; in the meantime, it can also remarkably influence the morphologies, optical properties and photovoltaic performance of CsPb(IxBr1−x)3 (0 < x < 1) films. By regulating the content of DMSO, as high as 13.27% power conversion efficiency (PCE) has been achieved with a steady-state PCE of 12.5% under optimal conditions, which can maintain 98% of the initial PCE for 480 h under ambient conditions without encapsulation. The synergistic effect of the solvent-engineering method can provide a new access for good quality all-inorganic perovskite thin films for high performance optoelectronic devices."
14,"The light soaking phenomenon, in chlorine-based mixed halide perovskite solar cells (PSC) with p-i-n configuration, is studied. Due to light soaking, the solar cells have shown improved open circuit voltage, fill factor (FF), and power conversion efficiency without much change in short circuit current. The devices have returned to their original state upon extended exposure to dark conditions. Capacitance spectroscopy is used to understand the effect of light soaking on various photovoltaic parameters. The observed increase of capacitance value with light soaking in the low frequency region of the capacitance-frequency (C–F) plot is elucidated, as the coupled effect of electronic and ionic processes involving defects. The decrement in the mid-frequency capacitance is attributed to an increase in the width of the depletion region which eventually facilitated the improvement in open circuit voltage and FF. Defect densities, and its distribution in the energy space, are deduced before and after light soaking. The defects density of states of PSC studied are found to reduce from 1016 to 1015 eV−1 cm−3, with a Gaussian distribution, and having a peak energy shift from 0.27 to 0.26 eV."
15,"Perovskite solar cells (PVSCs) based on the hybrid organic/inorganic structure have shown great prospect to the development of low cost, flexible, lightweight, and simple processability. But there are still exist many problems that limit its further commercial applications, such as the low mobility of hole transporting layer (HTL) and the poor stability which caused by the external environment and internal degradation. In this work, we demonstrated that the mixed HTL with poly-TPD and PTAA can increase the performance of p-i-n PVSCs. By doping poly-TPD into PTAA, the devices with mixed HTL show significantly enhancement of short-circuit current and fill factor, with an optimized power conversion efficiency (PCE) obtained over 20% enhancement compared with the control devices with bare PTAA, and the best PCE reaches 14.6%. Detailed analysis shows that the performance enhancement can be explained to the improved perovskite grain size and the increased electron transfer of mixed HTL. As a result, by incorporating poly-TPD with PTAA as the HTL, it provides an effective approach to reach high performance p-i-n PVSCs. "
16,"Cadmium sulfide (CdS) is one of the most promising electron-transporting materials (ETMs) in perovskite solar cells (PSCs). In the present study, an ultra-thin CdS layer was prepared as the ETL using N-methyl thiourea (NMT) and introduced into a planar PSC. This new CdS ETL effectively enhanced the current without sacrificing other parameters such as the open-circuit voltage and fill factor, resulting in superior photovoltaic performance."
17,"Organic–inorganic hybrid lead-based perovskite solar cells have already achieved high performance efficiency (∼20%). A major challenge with these cells, however, is their stability and environmental safety concerns due to the presence of lead. This article reports an effort to develop a new class of tin-based and air-stable molecular semiconducting iodosalts, for potential solar cell applications. The compounds are Cs2SnI6−xBrx for a range of x that provides the desired bandgaps from ∼1.3 eV to ∼2.9 eV with x < 3 being suitable for solar cell design. The Sn in this compound is in the 4+ oxidation state, and thus it is much more stable with respect to oxidation and more resistant to hydrolysis during processing and device operation. The focus of this article is on the detailed synthesis challenges in the solution processing of these compounds. A two-step solution synthesis method has been developed whereby during Step-1 a well-defined CsI crystalline film was formed for the appropriate chemical reaction with a solution of SnI during Step-2. By careful tuning of each step of the process and with the use of detailed structural, electrical and optical characterization as feedback, a series of Cs2SnI6−xBrx films were produced. The importance of having a stoichiometric compound for optimal performance of the material was revealed during solar cell fabrication. For the purpose of demonstrating a solar cell device assembly, a sandwich-type photochemical cell with an all solid state ionic conductor blended with inorganic materials and succinonitrile was employed for easy processing to obtain stable results. "
18,"We study the photoinduced degradation of hybrid organometal perovskite photovoltaics under illumination and ambient atmosphere using UV–vis absorption, atomic force microscopy, and device performance. We correlate the structural changes in the surface of the perovskite film with changes in the optical and electronic properties of the devices. The photodecomposition of the methylammonium lead triiodide perovskite layer itself proceeds much more slowly than the photodegradation of the performance of devices with fullerene/bathocuproine/aluminum top contacts, indicating that the active layer alone is more stable than the interface with the electrodes in this geometry. The evolution of the perovskite active layer performance proceeded through several phases: (1) an initial improvement in device characteristics, (2) a plateau with very slow degradation, and (3) a catastrophic decline in material performance accompanied by marked changes in film morphology. The rapid increase in surface roughness of the active perovskite semiconductor associated with sudden failure also correlates with decreased absorption at the perovskite band edge and growth of a lead iodide absorption feature. We find that degradation requires both light and moisture, is accelerated at increased humidity, and scales linearly with light intensity, depending primarily on total photon dose."
19,"Replacement of lead in the hybrid organic–inorganic perovskite solar cells invokes the need for non-toxic materials such as Sn. Although solution processed CsSnI3 has been demonstrated as a lead-free halide perovskite which can function as a light absorber with high photocurrent densities, the power conversion efficiencies were bottlenecked by low open circuit voltages. In this work, the open circuit voltages are modulated by chemical doping of CsSnI3 with Br leading to formation of CsSnI3-xBrx (0 ≤ x ≤ 3) perovskites. The beneficial effect of Br incorporation for Voc improvement is evident for CsSnI3 system even without the addition of SnF2. There is an evolution of the crystal structure of CsSnI3 from orthorhombic to cubic for CsSnBr3 accompanied by changes in its optical properties with a blue shift of the absorption and IPCE onset, as the Br– doping is increased. The Voc enhancement is attributed to the decrease in Sn vacancies which is reflected by the lower charge carrier densities of 1015 cm–3 and a high resistance to charge recombination in case of Br rich CsSnI3-xBrx perovskite. By the addition of SnF2 to CsSnI3-xBrx perovskite, the current densities are improved significantly."
20,"Here, a simple strategy using 1-butyl-3-methylimidazolium iodide (BMII) as a multifunctional additive was employed to globally modify the two-step deposition process of the perovskite film. Morphological, structural, and spectral analyses showed that the BMII additive could coordinate with PbI2 and thereby retarded the reaction of PbI2 and CH3NH3I through the ionic exchange process. Moreover, the residual BMII provided a liquid domain to promote the coarsening of the perovskite crystal during the thermal annealing process. Thus, the obtained MAPbI3 film preferred low PbI2 residue, high-quality crystallization, and large-grained microstructure. Using films prepared with BMII additives, the maximum power conversion efficiency of the solar cells was improved from 12.6% of the reference cell to 15.6%. The present study gives a reproductive and facile strategy toward high quality of perovskite thin films and efficient solar cells."
21,This article compares two methods of perovskite solar cells manufacturing process due to their resistance against moisture. Two sets of experimental perovskite samples were subjected to the study. Solar cells were exposed to increasing humidity in the climatic chamber. The results have shown that cells manufactured in a 15% relative humidity environment are more resistant to later external environmental influences. The reason is probably in a low moisture presence during the perovskite solar cell production process which contributes to increased resistance against later degradation effects of water molecules.
22,"For typical planar perovskite solar cell, an electron transporting layer (ETL) plays an important role in extracting electrons from a perovskite layer and blocking electron-hole recombination at the perovskite/conductive substrate interface. To date, TiO2 or ZnO ETLs are mainly adopted in both forms of film and nanostructure due to their ease of preparation. Nevertheless, the photoinstability of TiO2 and thermal instability of ZnO/perovskite interface remain the major challenges limiting their potential commercialization. Herein, we demonstrate an effective in situ template self-etching (iTSE) strategy to grow the novel hollow domed SnO2 nanotubes array with ZnO nanorods as sacrifice templates and the growth mechanism of such SnO2 nanotubes has been proposed based on a series of controllable experiments. Using such SnO2 nanotube as ETL for perovskite solar cell demonstrates a high photocurrent density of 15.9 mA/cm2 at a based-voltage of 760 mV, leading to a stable power conversion efficiency of 12.1% over 1000 s under the simulated AM 1.5G one sun illumination. This work highlights the importance of the ETL material selection and provides insights into achieving an ideal ETL/substrate homojunction to facilitate electron transporting."
23,"ZnO nanorods are a good candidate for replacing standard photoanodes, such as TiO2, in perovskite solar cells and in principle superseding the high performances already obtained. This is possible because ZnO nanorods have a fast electron transport rate due to their large surface area. An array of ZnO nanorods is grown by chemical bath deposition starting from Al-doped ZnO (AZO) used both as a seed layer and as an efficient transparent anode in the visible spectral range. In particular, in this work we fabricate methylammonium lead iodide (CH3NH3PbI3) perovskite solar cells using glass/AZO/ZnO nanorods/perovskite/Spiro-OMeTAD/Au as the architecture. The growth of ZnO nanorods has been optimized by varying the precursor concentrations, growth time and solution temperature. All the fabrication process and photovoltaic characterizations have been carried out in ambient air and the devices have not been encapsulated. Power conversion efficiency as high as 7.0% has been obtained with a good stability over 20 d. This is the highest reported value to the best of our knowledge and it is a promising result for the development of perovskite solar cells based on ZnO nanorods and AZO."
24,"Advancing of the lead halide perovskite solar cells towards photovoltaic market demands large-scale devices of high-power conversion efficiency, high reproducibility and stability via low-cost fabrication technology, and in particular resistance to humid environment for long-time operation. Here we achieve uniform perovskite film based on a novel polymer-scaffold architecture via a mild-temperature process. These solar cells exhibit efficiency of up to ∼16% with small variation. The unencapsulated devices retain high output for up to 300 h in highly humid environment (70% relative humidity). Moreover, they show strong humidity resistant and self-healing behaviour, recovering rapidly after removing from water vapour. Not only the film can self-heal in this case, but the corresponding devices can present power conversion efficiency recovery after the water vapour is removed. Our work demonstrates the value of cheap, long chain and hygroscopic polymer scaffold in perovskite solar cells towards commercialization."
25,"Herein, solution-processed 2D Nb2O5(001) nanosheets (c-Nb2O5 NS) are prepared and combined with [6,6]-phenyl-C61-butyric acid methyl ester (PC61BM) as an electron transport layer (ETL) for inverted inorganic CsPbI2Br perovskite solar cells (PeSCs). The PeSCs with a c-Nb2O5/PC61BM bilayer ETL yield a high power conversion efficiency (PCE) up to 11.74%, remarkably outperforming the devices with only PC61BM (9.10%) and those with the state-of-the-art ZnO/C60 ETL (10.65%) prepared under the same conditions. More importantly, the nonencapsulated PeSCs with c-Nb2O5 exhibit a high thermal stability with only 20% PCE loss after 400 h thermal aging at 85 °C. Such an impressive performance and a high stability can be attributed to the introduction of c-Nb2O5(001) NS with favorable band levels, strong acid nature, and the small lattice fringe spacing along the large lateral (001) surface, which not only facilitate the electron transport, blocking the hole transport, but also contribute to defect passivation and retard the iodine ions diffusion toward the Ag electrode. This study thus provides a deeper insight for the interfacial design in inverted inorganic PeSCs and contributes to PCE improvement in the future."
26,"A perovskite material CsAg2Sb2I9 was developed by dissolving CsI, AgI and SbI3 in DMF (molar ratio 1 : 2 : 2). CsAg2Sb2I9 solar cells gave a power conversion efficiency of 0.99% and a fill factor of 67.1%. The morphology of a CsAg2Sb2I9 film was affected significantly by the CsI content in the precursor solution."
27,"The inverted-planar bulk heterojunction perovskite solar cells were fabricated by incorporating nanoparticle MoOx into the CH3NH3PbI3−xClx perovskite active layers. The results showed that the device performances had been significantly improved, mainly reflected the enhancement of the open-circuit voltage from an average of 0.895 V to 0.959 V. This should be attributed to formation of bulk heterojunctions that can effectively separate and extract the carrier, and reduce carrier recombination. In addition, the conductive atomic force microscopy spectroscopy verified that the surface current of the perovskite-MoOx is larger than that of the pure perovskite film. The relationship between capacitance and frequency was tested and indirectly proved that bulk heterojunctions can rapidly separate the carriers. The ultrafast transient absorption spectroscopy measurements provided a reasonable explanation for the MoOx-induced rapidly separating of the carriers. Our research illustrates the application potential of bulk heterojunctions in the perovskite solar cells through doping the MoOx inorganic materials into the perovskite active layer, as well as further consolidates the role of bulk heterojunctions in perovskite active layer."
28,"Mixed tin-lead iodide perovskites exhibit the characteristics of low toxicity and improved light harvesting ability up to nearinfrared (NIR) spectral region, making them as an attractive alternative for traditional lead based perovskites. However, the performance of lead-based perovskites solar cells is still far inferior to their lead analogues owing to the unavoidable oxidation of Sn2+ to Sn4+. Here we introduced two-dimensional (2D) perovskite on the top of three dimensional (3D) perovskite film as a capping layer to reduce the self-oxidation, and thus improved the device stability. 2D capping layer was then confirmed by X-ray diffraction (XRD) and X-ray photoelectron spectroscopy (XPS) analysis. The existence of the 2D protecting thin layer significantly reduce the spontaneous Sn2+ oxidation, thus improve the device performance and reduce the hysteresis. The phenomena could be ascribed to the improved charge extraction efficiency causing by prohibited nonradiative recombination. On top of this, the photovoltaic devices based on conventional-structure configuration were fabricated. Taking advantage of the 2D capping layer, 2D/3D hybrid perovskite photovoltaic devices achieve a open-circuit voltage (Voc) of 0.77 V with short circuit current density (Jsc) of 26.60 mA cm−2, delivering the best-performing power conversion efficiency of 15.5%. Moreover, the 2D/3D perovskite devices maintained 60% its initial efficiency after 40 h exposed in air (humidity around 30%, temperature 22 °C), while 3D perovskite-based devices completely failed."
29,"The lifetime and power conversion efficiency are the key issues for the commercialization of perovskite solar cells (PSCs). In this paper, the development of 2D/3D perovskite hybrids (CA2PbI4/MAPbIxCl3−x) was firstly demonstrated to be a reliable method to combine their advantages, and provided a new concept for achieving both stable and efficient PSCs through the hybridization of perovskites. 2D/3D perovskite hybrids afforded significantly-improved moisture stability of films and devices without encapsulation in a high humidity of 63 ± 5%, as compared with the 3D perovskite (MAPbIxCl3−x). The 2D/3D perovskite-hybrid film did not undergo any degradation after 40 days, while the 3D perovskite decomposed completely under the same conditions after 8 days. The 2D/3D perovskite-hybrid device maintained 54% of the original efficiency after 220 hours, whereas the 3D perovskite device lost all the efficiency within only 50 hours. Moreover, the 2D/3D perovskite hybrid achieved comparable device performances (PCE: 13.86%) to the 3D perovskite (PCE: 13.12%) after the optimization of device fabrication conditions."
30,"Antisolvent methods – solvent engineering and a Lewis base adduct approach – are the most used methods to prepare highly efficient perovskite solar cells (PSCs). These two methods differ only by the ratio between the perovskite (PVSK) and dimethyl sulfoxide (DMSO). In this study, the difference between these two methods and the effect of relative humidity (rH) on the crystallization process were evaluated by in situ Grazing-Incidence Wide Angle X-ray Scattering (in situ GIWAXS) using synchrotron radiation. The technique was applied to the first stages of formation of formamidinium-based perovskite films, under real preparation conditions of spin coating, and at different humidity conditions and time windows to inject the antisolvent. The higher amount of DMSO in the solvent engineering method prolongs the duration of the colloidal gel, which extends the time window for antisolvent injection and, as a consequence, facilitates obtaining films with a homogeneous morphology. Our results confirm that the formation of a cesium/formamidinium-based perovskite takes place through the conversion of 2H–4H hexagonal polytypes directly to a black perovskite without thermal annealing, independent of the rH or method employed. In contrast, a cesium-free, methylammonium/formamidinium-based perovskite follows the 2H–4H–6H polytype sequence. Interestingly, at higher amounts of DMSO and rH (40%), a pure iodide intermediate (MA2Pb3I8·2DMSO) is formed in the cesium-free perovskite, which is undesirable in mixed halide perovskites. Our findings shed new light on the complexity of PVSK film formation, by identifying all crystalline phases in the process, and give clues to manage the composition and environment during film processing, and thus have an impact on efficiency optimization and solar cell manufacturing."
31,"The α-HC(NH2)2PbI3 (FAPbI3) perovskite with narrower band gap and higher thermal stability is a promising candidate for high performance perovskite optoelectronic applications. However, it is difficult to achieve fast growth of a phase pure α-FAPbI3 perovskite because the unwanted δ-FAPbI3 usually first forms at lower temperature then converted into the wanted α-FAPbI3 at higher temperature. It takes long time annealing to complete the conversion of δ-FAPbI3 to α-FAPbI3, which could also lead to uncontrollable degradation of α-FAPbI3. Here we report a facile flash deposition of large grain phase pure α-FAPbI3 without any δ-FAPbI3 impurity by inhibiting the δ phase crystallization. In this method, a simple PMMA sealing to synchronize a flash α-crystallization process at appropriate temperature with the unwanted δ phase crystallization. Consequently, a high quality phase pure α-FAPbI3 with large grain size was fabricated into high performance perovskite solar cells. The strategy of flash crystallization would be a promising method for deposition of phase pure perovskite in future."
32,"Formamidinium lead iodide (FAPbI3) is a more promising broader absorption material than methylammonium lead iodide (MAPbI3) for perovskite solar cells (PSCs). However, in most cases the power conversion efficiencies (PCE) of FAPbI3 based inverted planar PSCs are still lower than those of MAPbI3 ones due to the inferior morphology of FAPbI3 film. In this paper, we demonstrate an optimised formamidinium iodide/isopropyl alcohol (FAI/IPA) modification procedure to improve the photoactive layer for efficient inverted planar FAPbI3 PSCs. The results show that there is an obvious improvement in open circuit voltage, short current density (JSC), and fill factor (FF). Finally, the best PCE of 14.00% with a JSC of 21.75 mA cm−2 and a FF of 0.78 was achieved in low-temperature solution-processed PSCs, which represents a more than 40% enhancement in PCE over that of the PSCs without surface modification. Moreover, the devices exhibit good reproducibility and excellent stability. The simple FAI/IPA modification on the photoactive layer can greatly improve planar FAPbI3 based device performance, which can be a good choice for practical applications."
33,"We report a spray deposition technique as a screening tool for solution processed solar cells. A dual-feed spray nozzle is introduced to deposit donor and acceptor materials separately and to form blended films on substrates in situ. Using a differential pump system with a motorised spray nozzle, the effect of film thickness, solution flow rates and the blend ratio of donor and acceptor materials on device performance can be found in a single experiment. Using this method, polymer solar cells based on poly(3-hexylthiophene) (P3HT):(6,6)-phenyl C61 butyric acid methyl ester (PC61BM) are fabricated with numerous combinations of thicknesses and blend ratios. Results obtained from this technique show that the optimum ratio of materials is consistent with previously reported values confirming this technique is a very useful and effective screening method. This high throughput screening method is also used in a single-feed configuration. In the single-feed mode, methylammonium iodide solution is deposited on lead iodide films to create a photoactive layer of perovskite solar cells. Devices featuring a perovskite layer fabricated by this spray process demonstrated a power conversion efficiencies of up to 7.9%."
34,"We have fabricated MAPI solar cells using as selective contacts PEDOT:PSS polymer for holes and PCBM-C70 fullerene derivative for electrons. The thickness of MAPI, PCBM-C70, and PEDOT:PSS layers has been varied in order to evaluate the contribution of each layer to the final device performance. We have measured the devices capacitance under illumination and the charge carrier’s lifetime using photoinduced time-resolved techniques. The results show that in this kind of devices the limiting layer is the PCBM-C70 due to its relative reduced mobility compared to PEDOT:PSS that makes the control of the fullerene thickness crucial for device optimization. Moreover, capacitive measurements show differences for the devices having different PCBM-C70 layer thicknesses in contrast with the measurements on the different PEDOT:PSS thickness. These give indications about holes and electrons storage and their distribution"
35,"Simplifying the process of fine-tuning the electronic and optical properties of graphene oxide (GO) is of importance in order to fully utilize it as the hole interfacial layer (HIL). We introduced silver trifluoromethanesulfonate (AgOTf), an inorganic chemical dopant, that tunes and controls the properties of single-layered GO films synthesized by chemical vapor deposition. The morphology, work function, mobility, sheet resistance, and transmittance of the GO film were systematically tuned by various doping concentrations. We further developed a solution-processable low-temperature hole interfacial layer (HIL) poly(3,4-ethylenedioxythiophene):poly(styrenesulfonate) (PEDOT:PSS):AgOTf-doped GO HIL in highly efficient perovskite solar cells. The PEDOT:PSS:AgOTf-doped GO HIL grants the desirable charge-collection in the HIL allowing the entire device to be prepared at temperatures less than 120 °C. The fabricated perovskite solar cells utilize a rigid substrate and demonstrate compelling photovoltaic performance with a power conversion efficiency (PCE) of 11.90%. Moreover, flexible devices prepared using a polyethylene terephthalate (PET)/ITO demonstrate a PCE of 9.67%, while ITO-free flexible devices adopting PET/aluminum doped zinc oxide (AZO)/silver (Ag)/AZO demonstrate a PCE of 7.97%. This study shows that the PEDOT:PSS:AgOTf-doped GO HIL has significant potential to contribute to the development of low-cost solar cells"
