text,sentence_idx,abstract_idx,label,predicted
these,6,0,O,O
newli,6,0,O,O
develop,6,0,O,O
n-type,6,0,O,O
polym,6,0,O,O
were,6,0,O,O
allow,6,0,O,O
to,6,0,O,O
be,6,0,O,O
process,6,0,I,I
over,6,0,O,O
a,6,0,O,O
broad,6,0,O,O
thick,6,0,O,O
rang,6,0,O,O
of,6,0,O,O
cil,6,0,O,O
in,6,0,O,O
photovolta,6,0,O,O
devic,6,0,O,O
",",6,0,O,O
and,6,0,O,O
a,6,0,O,O
promin,6,0,O,O
pce,6,0,O,O
of,6,0,O,O
over,6,0,O,O
8,6,0,O,O
%,6,0,O,O
for,6,0,O,O
polym,6,0,O,O
solar,6,0,O,O
cell,6,0,O,O
and,6,0,O,O
13.5,6,0,B,B
%,6,0,O,O
for,6,0,O,O
perovskit,6,0,B,B
solar,6,0,O,O
cell,6,0,O,O
can,6,0,O,O
be,6,0,O,O
achiev,6,0,O,O
with,6,0,O,O
the,6,0,O,O
thick,6,0,O,O
interlay,6,0,O,O
over,6,0,O,O
100,6,0,O,O
nm,6,0,O,O
",",6,0,O,O
which,6,0,O,O
is,6,0,O,O
benefici,6,0,O,O
for,6,0,O,O
roll-to-rol,6,0,O,O
coat,6,0,O,O
process,6,0,I,I
.,6,0,O,O
our,7,0,O,O
find,7,0,O,O
contribut,7,0,O,O
toward,7,0,O,O
a,7,0,O,O
better,7,0,O,O
understand,7,0,O,O
of,7,0,O,O
the,7,0,O,O
structure–perform,7,0,O,O
relationship,7,0,O,O
between,7,0,O,O
cil,7,0,O,O
materi,7,0,O,O
design,7,0,O,O
and,7,0,O,O
solar,7,0,O,O
cell,7,0,O,O
perform,7,0,O,O
",",7,0,O,O
and,7,0,O,O
provid,7,0,O,O
import,7,0,O,O
insight,7,0,O,O
and,7,0,O,O
guidelin,7,0,O,O
for,7,0,O,O
the,7,0,O,O
design,7,0,O,O
of,7,0,O,O
high-perform,7,0,O,O
n-type,7,0,O,O
cil,7,0,O,O
materi,7,0,O,O
for,7,0,O,O
organ,7,0,O,O
and,7,0,O,O
perovskit,7,0,B,B
optoelectron,7,0,O,O
devic,7,0,O,O
.,7,0,O,O
in,8,1,O,O
thi,8,1,O,O
work,8,1,O,O
",",8,1,O,O
two,8,1,O,O
novel,8,1,O,O
polymer,8,1,O,O
semiconductor,8,1,O,O
(,8,1,O,O
d2,8,1,O,O
and,8,1,O,O
d3,8,1,O,O
),8,1,O,O
",",8,1,O,O
with,8,1,O,O
perfluorin,8,1,O,O
side,8,1,O,O
chain,8,1,O,O
in,8,1,O,O
their,8,1,O,O
backbon,8,1,O,O
",",8,1,O,O
were,8,1,O,O
develop,8,1,O,O
.,8,1,O,O
moreov,9,1,O,O
",",9,1,O,O
a,9,1,O,O
novel,9,1,O,O
small,9,1,O,O
molecul,9,1,O,O
(,9,1,O,O
d1,9,1,O,O
),9,1,O,O
",",9,1,O,O
with,9,1,O,O
a,9,1,O,O
similar,9,1,O,O
structur,9,1,O,O
to,9,1,O,O
polym,9,1,O,O
d2,9,1,O,O
and,9,1,O,O
d3,9,1,O,O
",",9,1,O,O
wa,9,1,O,O
also,9,1,O,O
design,9,1,O,O
for,9,1,O,O
comparison,9,1,O,O
purpos,9,1,O,O
.,9,1,O,O
compound,10,1,O,O
d1–d3,10,1,B,B
were,10,1,O,O
success,10,1,O,O
synthes,10,1,O,O
",",10,1,O,O
complet,10,1,O,O
character,10,1,O,O
and,10,1,O,O
use,10,1,O,O
as,10,1,O,O
addit,10,1,O,O
in,10,1,O,O
perovskit,10,1,B,B
solar,10,1,O,O
cell,10,1,O,O
(,10,1,O,O
psc,10,1,O,O
),10,1,O,O
.,10,1,O,O
the,11,1,O,O
novel,11,1,O,O
materi,11,1,O,O
contain,11,1,O,O
26,11,1,O,O
fluorin,11,1,O,O
atom,11,1,O,O
per,11,1,O,O
unit,11,1,O,O
",",11,1,O,O
which,11,1,O,O
is,11,1,O,O
the,11,1,O,O
largest,11,1,O,O
amount,11,1,O,O
of,11,1,O,O
fluorin,11,1,O,O
atom,11,1,O,O
report,11,1,O,O
for,11,1,O,O
addit,11,1,O,O
in,11,1,O,O
psc,11,1,O,O
.,11,1,O,O
in,12,1,O,O
thi,12,1,O,O
regard,12,1,O,O
",",12,1,O,O
d1–d3,12,1,B,B
were,12,1,O,O
incorpor,12,1,O,O
into,12,1,O,O
the,12,1,O,O
perovskit,12,1,B,B
layer,12,1,O,O
as,12,1,O,O
addit,12,1,O,O
and,12,1,O,O
their,12,1,O,O
effect,12,1,O,O
on,12,1,O,O
the,12,1,O,O
film,12,1,O,O
format,12,1,O,O
",",12,1,O,O
stabil,12,1,O,O
and,12,1,O,O
perform,12,1,O,O
of,12,1,O,O
psc,12,1,O,O
wa,12,1,O,O
studi,12,1,O,O
.,12,1,O,O
as,13,1,O,O
a,13,1,O,O
result,13,1,O,O
",",13,1,O,O
d1–d3-base,13,1,B,B
devic,13,1,O,O
show,13,1,O,O
veri,13,1,O,O
good,13,1,O,O
perform,13,1,O,O
compar,13,1,O,O
to,13,1,O,O
devic,13,1,O,O
fabric,13,1,I,I
without,13,1,O,O
addit,13,1,O,O
and,13,1,O,O
an,13,1,O,O
increas,13,1,O,O
stabil,13,1,O,O
.,13,1,O,O
thu,14,1,O,O
",",14,1,O,O
d1-,14,1,O,O
and,14,1,O,O
d2-fabric,14,1,O,O
devic,14,1,O,O
retain,14,1,O,O
94,14,1,O,O
and,14,1,O,O
85,14,1,O,O
%,14,1,O,O
of,14,1,O,O
their,14,1,O,O
initi,14,1,O,O
power,14,1,O,O
",",14,1,O,O
respect,14,1,O,O
",",14,1,O,O
after,14,1,O,O
80,14,1,O,O
min,14,1,O,O
under,14,1,O,O
a,14,1,O,O
bia,14,1,O,O
",",14,1,O,O
while,14,1,O,O
the,14,1,O,O
refer,14,1,O,O
devic,14,1,O,O
broke,14,1,O,O
down,14,1,O,O
complet,14,1,O,O
.,14,1,O,O
these,15,1,O,O
result,15,1,O,O
illustr,15,1,O,O
the,15,1,O,O
extraordinari,15,1,O,O
protect,15,1,O,O
action,15,1,O,O
of,15,1,O,O
the,15,1,O,O
perfluorin,15,1,O,O
polym,15,1,O,O
against,15,1,O,O
humid,15,1,O,O
and,15,1,O,O
oxygen,15,1,O,O
",",15,1,O,O
even,15,1,O,O
at,15,1,O,O
a,15,1,O,O
low,15,1,O,O
concentr,15,1,O,O
of,15,1,O,O
2,15,1,O,O
mg,15,1,O,O
ml−1,15,1,O,O
use,15,1,O,O
in,15,1,O,O
our,15,1,O,O
experi,15,1,O,O
.,15,1,O,O
the,16,2,O,O
photovolta,16,2,O,O
perform,16,2,O,O
of,16,2,O,O
perovskit,16,2,B,B
solar,16,2,O,O
cell,16,2,O,O
(,16,2,O,O
psc,16,2,O,O
),16,2,O,O
larg,16,2,O,O
depend,16,2,O,O
on,16,2,O,O
the,16,2,O,O
crystal,16,2,O,O
grain,16,2,O,O
size,16,2,O,O
of,16,2,O,O
perovskit,16,2,B,B
film,16,2,O,O
.,16,2,O,O
here,17,2,O,O
",",17,2,O,O
we,17,2,O,O
use,17,2,O,O
the,17,2,O,O
mixtur,17,2,O,O
of,17,2,O,O
n-octyltrimethoxysilan,17,2,O,O
(,17,2,O,O
ote,17,2,O,O
),17,2,O,O
and,17,2,O,O
aminopropyltrimethoxysilan,17,2,O,O
(,17,2,O,O
apt,17,2,O,O
),17,2,O,O
to,17,2,O,O
tailor,17,2,O,O
the,17,2,O,O
surfac,17,2,O,O
termin,17,2,O,O
state,17,2,O,O
of,17,2,O,O
sno2,17,2,O,O
electron,17,2,O,O
transport,17,2,O,O
layer,17,2,O,O
",",17,2,O,O
and,17,2,O,O
demonstr,17,2,O,O
the,17,2,O,O
crystal,17,2,O,O
grain,17,2,O,O
size,17,2,O,O
of,17,2,O,O
perovskit,17,2,B,B
is,17,2,O,O
remark,17,2,O,O
enlarg,17,2,O,O
.,17,2,O,O
the,18,2,O,O
perovskit,18,2,B,B
film,18,2,O,O
with,18,2,O,O
larg,18,2,O,O
crystal,18,2,O,O
size,18,2,O,O
show,18,2,O,O
a,18,2,O,O
lower,18,2,O,O
non-rad,18,2,O,O
recombin,18,2,O,O
densiti,18,2,O,O
and,18,2,O,O
a,18,2,O,O
longer,18,2,O,O
charg,18,2,O,O
lifetim,18,2,O,O
.,18,2,O,O
the,19,2,O,O
power,19,2,O,O
convers,19,2,O,O
effici,19,2,O,O
of,19,2,O,O
psc,19,2,O,O
is,19,2,O,O
eventu,19,2,O,O
improv,19,2,I,I
from,19,2,O,O
18.21,19,2,O,O
%,19,2,O,O
to,19,2,O,O
20.3,19,2,B,B
%,19,2,O,O
.,19,2,O,O
the,20,2,O,O
propos,20,2,O,O
method,20,2,O,O
may,20,2,O,O
also,20,2,O,O
impact,20,2,O,O
other,20,2,O,O
optoelectron,20,2,O,O
devic,20,2,O,O
base,20,2,O,O
perovskit,20,2,B,B
film,20,2,O,O
.,20,2,O,O
two-dimension,21,3,O,O
(,21,3,O,O
2d,21,3,O,O
),21,3,O,O
metal-halid,21,3,O,O
perovskit,21,3,B,B
with,21,3,O,O
altern,21,3,O,O
cation,21,3,O,O
in,21,3,O,O
the,21,3,O,O
interlay,21,3,O,O
space,21,3,O,O
(,21,3,O,O
aci,21,3,O,O
),21,3,O,O
have,21,3,O,O
demonstr,21,3,O,O
great,21,3,O,O
potenti,21,3,O,O
in,21,3,O,O
photovolta,21,3,O,O
.,21,3,O,O
the,22,3,O,O
balanc,22,3,O,O
between,22,3,O,O
stabil,22,3,O,O
and,22,3,O,O
effici,22,3,O,O
could,22,3,O,O
be,22,3,O,O
tailor,22,3,O,O
by,22,3,O,O
vari,22,3,O,O
the,22,3,O,O
distanc,22,3,O,O
between,22,3,O,O
the,22,3,O,O
inorgan,22,3,O,O
slab,22,3,O,O
.,22,3,O,O
howev,23,3,O,O
",",23,3,O,O
the,23,3,O,O
effici,23,3,O,O
are,23,3,O,O
still,23,3,O,O
low,23,3,O,O
due,23,3,O,O
to,23,3,O,O
the,23,3,O,O
low,23,3,O,O
carrier,23,3,O,O
mobil,23,3,O,O
and,23,3,O,O
random,23,3,O,O
crystal,23,3,O,O
orient,23,3,O,O
in,23,3,O,O
the,23,3,O,O
defect,23,3,O,O
aci,23,3,O,O
film,23,3,O,O
.,23,3,O,O
furthermor,24,3,O,O
",",24,3,O,O
how,24,3,O,O
the,24,3,O,O
aci,24,3,O,O
multidimension,24,3,O,O
perovskit,24,3,B,B
assembl,24,3,O,O
in,24,3,O,O
the,24,3,O,O
solution-process,24,3,O,O
film,24,3,O,O
is,24,3,O,O
still,24,3,O,O
unclear,24,3,O,O
.,24,3,O,O
herein,25,3,O,O
",",25,3,O,O
we,25,3,O,O
demonstr,25,3,O,O
nanoscal,25,3,O,O
hybrid,25,3,O,O
multidimension,25,3,O,O
(,25,3,O,O
ga,25,3,O,O
),25,3,O,O
(,25,3,O,O
ma,25,3,O,O
),25,3,O,O
3pb3i10,25,3,B,B
aci,25,3,O,O
(,25,3,O,O
guanidinium,25,3,O,O
=,25,3,O,O
ga,25,3,O,O
",",25,3,O,O
methylammonium,25,3,O,O
=,25,3,O,O
ma,25,3,O,O
),25,3,O,O
perovskit,25,3,B,B
with,25,3,O,O
vertic,25,3,O,O
stack,25,3,O,O
microcryst,25,3,O,O
and,25,3,O,O
preferenti,25,3,O,O
crystal,25,3,O,O
orient,25,3,O,O
.,25,3,O,O
in,26,3,O,O
each,26,3,O,O
microcryst,26,3,O,O
",",26,3,O,O
the,26,3,O,O
low-dimension,26,3,O,O
aci,26,3,O,O
are,26,3,O,O
assembl,26,3,O,O
within,26,3,O,O
3d,26,3,O,O
perovskit,26,3,B,B
nanoscal,26,3,O,O
network,26,3,O,O
.,26,3,O,O
such,27,3,O,O
nanoscal,27,3,O,O
heterojunct,27,3,O,O
prompt,27,3,O,O
ultrafast,27,3,O,O
(,27,3,O,O
~0.3,27,3,B,B
ps,27,3,O,O
),27,3,O,O
charg,27,3,O,O
carrier,27,3,O,O
local,27,3,O,O
from,27,3,O,O
aci,27,3,O,O
to,27,3,O,O
3d,27,3,O,O
perovskit,27,3,B,B
and,27,3,O,O
the,27,3,O,O
subsequ,27,3,O,O
effici,27,3,O,O
charg,27,3,O,O
carrier,27,3,O,O
extract,27,3,O,O
from,27,3,O,O
the,27,3,O,O
3d,27,3,O,O
network,27,3,O,O
to,27,3,O,O
the,27,3,O,O
extract,27,3,O,O
layer,27,3,O,O
.,27,3,O,O
base,28,3,O,O
on,28,3,O,O
optim,28,3,O,O
aci,28,3,O,O
film,28,3,O,O
",",28,3,O,O
record,28,3,O,O
high-effici,28,3,O,O
(,28,3,O,O
>,28,3,O,O
16,28,3,O,O
%,28,3,O,O
),28,3,O,O
and,28,3,O,O
high-stabl,28,3,O,O
planar,28,3,O,O
perovskit,28,3,B,B
cell,28,3,O,O
are,28,3,O,O
achiev,28,3,O,O
.,28,3,O,O
our,29,3,O,O
result,29,3,O,O
provid,29,3,O,O
new,29,3,O,O
insight,29,3,O,O
into,29,3,O,O
the,29,3,O,O
crystal,29,3,O,O
growth,29,3,O,O
and,29,3,O,O
carrier,29,3,O,O
kinet,29,3,O,O
of,29,3,O,O
the,29,3,O,O
aci,29,3,O,O
perovskit,29,3,B,B
solar,29,3,O,O
cell,29,3,O,O
.,29,3,O,O
low-temperatur,30,4,O,O
solution-process,30,4,O,O
sno2-bas,30,4,O,O
perovskit,30,4,B,B
solar,30,4,O,O
cell,30,4,O,O
(,30,4,O,O
psc,30,4,O,O
),30,4,O,O
have,30,4,O,O
achiev,30,4,O,O
great,30,4,O,O
progress,30,4,O,O
recent,30,4,O,O
",",30,4,O,O
but,30,4,O,O
they,30,4,O,O
still,30,4,O,O
suffer,30,4,O,O
from,30,4,O,O
a,30,4,O,O
critic,30,4,O,O
drawback,30,4,O,O
due,30,4,O,O
to,30,4,O,O
the,30,4,O,O
defect,30,4,O,O
at,30,4,O,O
the,30,4,O,O
sno2/perovskit,30,4,B,B
interfac,30,4,O,O
.,30,4,O,O
herein,31,4,O,O
",",31,4,O,O
we,31,4,O,O
report,31,4,O,O
a,31,4,O,O
facil,31,4,O,O
acet,31,4,O,O
acid,31,4,O,O
post-treat,31,4,O,O
strategi,31,4,O,O
to,31,4,O,O
effect,31,4,O,O
passiv,31,4,O,O
the,31,4,O,O
surfac,31,4,O,O
defect,31,4,O,O
.,31,4,O,O
with,32,4,O,O
an,32,4,O,O
optim,32,4,O,O
concentr,32,4,O,O
of,32,4,O,O
acet,32,4,O,O
acid,32,4,O,O
",",32,4,O,O
the,32,4,O,O
averag,32,4,O,O
power,32,4,O,O
convers,32,4,O,O
effici,32,4,O,O
(,32,4,O,O
pce,32,4,O,O
),32,4,O,O
of,32,4,O,O
the,32,4,O,O
planar-typ,32,4,O,O
tripl,32,4,O,O
cation,32,4,O,O
psc,32,4,O,O
is,32,4,O,O
greatli,32,4,O,O
increas,32,4,O,O
from,32,4,O,O
18.57,32,4,O,O
%,32,4,O,O
to,32,4,O,O
20.33,32,4,B,B
%,32,4,O,O
.,32,4,O,O
the,33,4,O,O
champion,33,4,O,O
devic,33,4,O,O
show,33,4,O,O
a,33,4,O,O
pce,33,4,O,O
of,33,4,O,O
20.56,33,4,O,O
%,33,4,O,O
.,33,4,O,O
in,34,4,O,O
addit,34,4,O,O
",",34,4,O,O
the,34,4,O,O
univers,34,4,O,O
of,34,4,O,O
thi,34,4,O,O
passiv,34,4,O,O
strategi,34,4,O,O
is,34,4,O,O
doubl,34,4,O,O
confirm,34,4,O,O
by,34,4,O,O
achiev,34,4,O,O
an,34,4,O,O
enhanc,34,4,O,O
averag,34,4,O,O
pce,34,4,O,O
from,34,4,O,O
19.52,34,4,O,O
%,34,4,O,O
to,34,4,O,O
21.64,34,4,O,O
%,34,4,O,O
for,34,4,O,O
sequenti,34,4,O,O
method,34,4,O,O
deposit,34,4,O,O
dual,34,4,O,O
cation,34,4,O,O
psc,34,4,O,O
",",34,4,O,O
with,34,4,O,O
a,34,4,O,O
lead,34,4,O,O
pce,34,4,O,O
of,34,4,O,O
21.95,34,4,O,O
%,34,4,O,O
.,34,4,O,O
our,35,4,O,O
work,35,4,O,O
demonstr,35,4,O,O
an,35,4,O,O
effect,35,4,O,O
passiv,35,4,O,O
strategi,35,4,O,O
for,35,4,O,O
sno2-bas,35,4,O,O
planar-typ,35,4,O,O
psc,35,4,O,O
",",35,4,O,O
which,35,4,O,O
will,35,4,O,O
benefit,35,4,O,O
the,35,4,O,O
develop,35,4,O,O
of,35,4,O,O
high-effici,35,4,O,O
psc,35,4,O,O
.,35,4,O,O
hybrid,36,5,O,O
perovskit,36,5,B,B
compound,36,5,O,O
as,36,5,O,O
methylammonium,36,5,O,O
lead,36,5,O,O
halid,36,5,O,O
are,36,5,O,O
current,36,5,O,O
been,36,5,O,O
investig,36,5,O,O
for,36,5,O,O
differ,36,5,O,O
optoelectron,36,5,O,O
applic,36,5,O,O
.,36,5,O,O
ch3nh3pbbr3,37,5,B,B
is,37,5,O,O
a,37,5,O,O
promis,37,5,O,O
member,37,5,O,O
becaus,37,5,O,O
of,37,5,O,O
it,37,5,O,O
electron,37,5,O,O
structur,37,5,O,O
and,37,5,O,O
larg,37,5,O,O
bandgap,37,5,O,O
that,37,5,O,O
give,37,5,O,O
rise,37,5,O,O
to,37,5,O,O
a,37,5,O,O
high,37,5,O,O
open,37,5,O,O
circuit,37,5,O,O
voltag,37,5,O,O
.,37,5,O,O
although,38,5,O,O
higher,38,5,O,O
perform,38,5,O,O
can,38,5,O,O
result,38,5,O,O
by,38,5,O,O
use,38,5,O,O
sophist,38,5,O,O
process,38,5,I,I
",",38,5,O,O
one-step,38,5,O,O
method,38,5,O,O
are,38,5,O,O
particularli,38,5,O,O
interest,38,5,O,O
becaus,38,5,O,O
of,38,5,O,O
their,38,5,O,O
easi,38,5,O,O
implement,38,5,O,O
.,38,5,O,O
solar,39,5,O,O
cell,39,5,O,O
base,39,5,O,O
on,39,5,O,O
ch3nh3pbbr3,39,5,B,B
are,39,5,O,O
fabric,39,5,I,I
use,39,5,O,O
one-step,39,5,O,O
spin,39,5,O,O
coat,39,5,O,O
deposit,39,5,O,O
.,39,5,O,O
remark,40,5,O,O
effect,40,5,O,O
on,40,5,O,O
the,40,5,O,O
morpholog,40,5,O,O
",",40,5,O,O
structur,40,5,O,O
",",40,5,O,O
optic,40,5,O,O
and,40,5,O,O
electr,40,5,O,O
properti,40,5,O,O
is,40,5,O,O
observ,40,5,O,O
by,40,5,O,O
chang,40,5,O,O
the,40,5,O,O
molar,40,5,O,O
ratio,40,5,O,O
of,40,5,O,O
the,40,5,O,O
precursor,40,5,O,O
.,40,5,O,O
we,41,6,O,O
report,41,6,O,O
the,41,6,O,O
that,41,6,O,O
the,41,6,O,O
crystallin,41,6,O,O
and,41,6,O,O
grain,41,6,O,O
size,41,6,O,O
of,41,6,O,O
perovskit,41,6,B,B
film,41,6,O,O
could,41,6,O,O
be,41,6,O,O
systemat,41,6,O,O
tailor,41,6,O,O
by,41,6,O,O
modul,41,6,O,O
the,41,6,O,O
stoichiometri,41,6,O,O
of,41,6,O,O
the,41,6,O,O
precursor,41,6,O,O
solut,41,6,O,O
in,41,6,O,O
the,41,6,O,O
hot-cast,41,6,O,O
process,41,6,I,I
under,41,6,O,O
ambient,41,6,O,O
condit,41,6,O,O
with,41,6,O,O
a,41,6,O,O
rel,41,6,O,O
humid,41,6,O,O
of,41,6,O,O
40,41,6,O,O
%,41,6,O,O
.,41,6,O,O
it,42,6,O,O
wa,42,6,O,O
found,42,6,O,O
that,42,6,O,O
a,42,6,O,O
slight,42,6,O,O
excess,42,6,O,O
of,42,6,O,O
methylammonium,42,6,O,O
iodid,42,6,O,O
(,42,6,O,O
mai,42,6,O,O
),42,6,O,O
in,42,6,O,O
the,42,6,O,O
precursor,42,6,O,O
solut,42,6,O,O
could,42,6,O,O
effect,42,6,O,O
compens,42,6,O,O
the,42,6,O,O
mai,42,6,O,O
loss,42,6,O,O
due,42,6,O,O
to,42,6,O,O
the,42,6,O,O
high,42,6,O,O
substrat,42,6,O,O
temperatur,42,6,O,O
.,42,6,O,O
a,43,6,O,O
signific,43,6,O,O
increas,43,6,O,O
in,43,6,O,O
the,43,6,O,O
grain,43,6,O,O
size,43,6,O,O
and,43,6,O,O
crystallin,43,6,O,O
of,43,6,O,O
the,43,6,O,O
perovskit,43,6,B,B
film,43,6,O,O
wa,43,6,O,O
observ,43,6,O,O
togeth,43,6,O,O
with,43,6,O,O
a,43,6,O,O
decreas,43,6,O,O
in,43,6,O,O
defect,43,6,O,O
densiti,43,6,O,O
and,43,6,O,O
a,43,6,O,O
carrier,43,6,O,O
concentr,43,6,O,O
enhanc,43,6,O,O
in,43,6,O,O
mai-rich,43,6,O,O
sampl,43,6,O,O
.,43,6,O,O
the,44,6,O,O
correspond,44,6,O,O
devic,44,6,O,O
exhibit,44,6,O,O
a,44,6,O,O
notabl,44,6,O,O
increas,44,6,O,O
in,44,6,O,O
fill,44,6,O,O
factor,44,6,O,O
(,44,6,O,O
up,44,6,O,O
to,44,6,O,O
80.70,44,6,O,O
%,44,6,O,O
),44,6,O,O
and,44,6,O,O
short-circuit,44,6,O,O
current,44,6,O,O
densiti,44,6,O,O
.,44,6,O,O
in,45,6,O,O
addit,45,6,O,O
",",45,6,O,O
in,45,6,O,O
mai-defici,45,6,O,O
sampl,45,6,O,O
",",45,6,O,O
an,45,6,O,O
enrich,45,6,O,O
of,45,6,O,O
pbi2,45,6,O,O
at,45,6,O,O
the,45,6,O,O
grain,45,6,O,O
boundari,45,6,O,O
wa,45,6,O,O
directli,45,6,O,O
observ,45,6,O,O
by,45,6,O,O
optic,45,6,O,O
microscopi,45,6,O,O
and,45,6,O,O
laser,45,6,O,O
confoc,45,6,O,O
microscopi,45,6,O,O
.,45,6,O,O
time-resolv,46,6,O,O
photoluminesc,46,6,O,O
spectroscopi,46,6,O,O
reveal,46,6,O,O
an,46,6,O,O
increas,46,6,O,O
in,46,6,O,O
the,46,6,O,O
charg,46,6,O,O
carrier,46,6,O,O
lifetim,46,6,O,O
in,46,6,O,O
the,46,6,O,O
mai-defici,46,6,O,O
sampl,46,6,O,O
",",46,6,O,O
which,46,6,O,O
wa,46,6,O,O
in,46,6,O,O
line,46,6,O,O
with,46,6,O,O
the,46,6,O,O
previou,46,6,O,O
result,46,6,O,O
with,46,6,O,O
a,46,6,O,O
small,46,6,O,O
amount,46,6,O,O
of,46,6,O,O
excess,46,6,O,O
pbi2,46,6,O,O
in,46,6,O,O
the,46,6,O,O
perovskit,46,6,B,B
film,46,6,O,O
.,46,6,O,O
thi,47,6,O,O
work,47,6,O,O
highlight,47,6,O,O
a,47,6,O,O
new,47,6,O,O
strategi,47,6,O,O
to,47,6,O,O
prepar,47,6,I,I
high-qual,47,6,O,O
perovskit,47,6,B,B
thin,47,6,O,O
film,47,6,O,O
with,47,6,O,O
excel,47,6,O,O
crystal,47,6,O,O
qualiti,47,6,O,O
under,47,6,O,O
ambient,47,6,O,O
condit,47,6,O,O
.,47,6,O,O
tin-bas,48,7,O,O
perovskit,48,7,B,B
have,48,7,O,O
exhibit,48,7,O,O
high,48,7,O,O
potenti,48,7,O,O
for,48,7,O,O
effici,48,7,O,O
photovolta,48,7,O,O
applic,48,7,O,O
due,48,7,O,O
to,48,7,O,O
their,48,7,O,O
