text,label
photovoltaic,O
performance,O
(both,O
efficiency,O
and,O
stability),O
in,O
hybrid,O
organic–inorganic,O
halide,O
perovskite,B
solar,O
"cells,",O
perovskite,B
lattice,O
distortion,O
is,O
investigated,O
with,O
regards,O
to,O
residual,O
stress,O
(and,O
strain),O
in,O
the,O
polycrystalline,O
thin,O
films.,O
 ,O
"Thus,",O
a,O
“bone-joint”,O
configuration,O
is,O
constructed,O
within,O
the,O
interface,O
between,O
the,O
absorber,O
and,O
the,O
carrier,O
transport,O
"layer,",O
which,O
improves,I
device,O
performance,O
substantially.,O
 ,O
The,O
resultant,O
photovoltaic,O
devices,O
exhibit,O
an,O
efficiency,O
of,O
21.48%,O
with,O
good,O
humidity,O
stability,O
and,O
improved,I
resistance,O
against,O
thermal,O
cycling.....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,O
 ,O
"However,",O
the,O
heavy,O
reliance,O
on,O
the,O
use,O
of,O
dopants,O
not,O
only,O
complicates,O
the,O
device,O
fabrication,I
but,O
imposes,O
long-term,O
stability,O
concern,O
of,O
the,O
devices.,O
 ,O
"Herein,",O
it,O
is,O
reported,O
that,O
solution-processed,O
dopant-free,O
spiro,O
molecules,O
can,O
serve,O
as,O
superior,O
HTMs,O
to,O
fabricate,I
efficient,O
inverted,O
(p-i-n),O
PSCs.,B
 ,O
These,O
results,O
suggest,O
that,O
small,O
molecular,O
HTMs,O
commonly,O
developed,O
for,O
normal,O
structure,O
devices,O
can,O
be,O
of,O
great,O
potential,O
to,O
fabricate,I
cost-effective,O
and,O
highly,O
efficient,O
inverted,O
PSCs......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,B
 ,O
"Herein,",O
a,O
facile,O
method,O
is,O
reported,O
to,O
prepare,I
α-CsPbI3,B
perovskite,B
films,O
with,O
high,O
stability,O
at,O
room,O
temperature,O
by,O
mixing,O
a,O
small,O
amount,O
of,O
ascorbic,O
acid,O
(AA),O
in,O
the,O
CsPbI3,B
precursor,O
solutions.,O
 ,O
It,O
is,O
revealed,O
that,O
the,O
interaction,O
of,O
AA,O
with,O
the,O
CsPbI3,B
precursors,O
could,O
effectively,O
inhibit,O
the,O
rapid,O
crystallization,O
of,O
CsPbI3,B
and,O
reduce,O
the,O
size,O
of,O
the,O
coordination,O
"colloidal,",O
and,O
thus,O
decrease,O
the,O
grain,O
size,O
of,O
CsPbI3,B
for,O
preparing,I
long-term,O
stable,O
α-CsPbI3,B
films.,O
......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,O
 ,O
Although,O
highest,O
tandem,O
efficiencies,O
have,O
been,O
reported,O
for,O
the,O
inverted,O
p-i-n,O
"structure,",O
high-efficiency,O
single,O
junction,O
perovskite,B
solar,O
cells,O
are,O
mostly,O
fabricated,I
in,O
the,O
regular,O
n-i-p,O
architecture.,O
 ,O
In,O
this,O
"work,",O
regular,O
n-i-p,O
perovskite,B
solar,O
cells,O
with,O
a,O
high-bandgap,O
mixed,O
cation,O
mixed,O
halide,O
absorber,O
suitable,O
for,O
tandem,O
solar,O
cells,O
are,O
investigated,O
by,O
compositional,O
engineering,O
and,O
the,O
open-circuit,O
voltage,O
is,O
improved,I
to,O
over,O
1.12 V,O
using,O
a,O
passivating,O
electron,O
contact.,O
 ,O
A,O
spectrometric,O
characterization,O
reveals,O
that,O
the,O
perovskite,B
solar,O
cell,O
is,O
current,O
limiting,O
which,O
could,O
be,O
improved,I
by,O
a,O
thicker,O
perovskite,B
absorber...............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,O
 ,O
"Furthermore,",O
the,O
uniform,O
and,O
thin,O
sputtered,O
SnO2,O
film,O
with,O
high,O
conductivity,O
is,O
promising,O
for,O
large,O
area,O
solar,O
"modules,",O
which,O
show,O
efficiencies,O
over,O
12%,O
with,O
an,O
aperture,O
area,O
of,O
22.8,O
cm2,O
fabricated,I
on,O
5,O
×,O
5,O
cm2,O
substrates,O
(geometry,O
fill,O
factor,O
=,O
"91%),",O
and,O
a,O
T80,O
operational,O
lifetime,O
of,O
515,O
h.............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,O
 ,O
"Herein,",O
a,O
mixed,O
anti-solvent,O
treatment,O
by,O
spraying,O
acetonitrile,O
(ACN)-added,O
chlorobenzene,O
(CBZ),O
for,O
the,O
fabrication,I
of,O
high-quality,O
perovskite,B
films,O
is,O
proposed.,O
 ,O
Defect,O
passivation,O
using,O
oxygen,O
has,O
been,O
identified,O
as,O
an,O
efficient,O
and,O
convenient,O
approach,O
to,O
suppress,O
nonradiative,O
recombination,O
and,O
improve,I
the,O
photovoltaic,O
performance,O
of,O
hybrid,O
organic–inorganic,O
halide,O
perovskites,B
(HHPs).,O
 ,O
The,O
key,O
point,O
to,O
achieve,O
O-passivated,O
perovskites,B
rather,O
than,O
O2,O
is,O
the,O
dry-air,O
processing,I
"condition,",O
which,O
can,O
dissociate,O
the,O
O2,O
into,O
O,O
during,O
the,O
annealing,O
process.,O
 ,O
Chemical,O
doping,O
of,O
inorganic–organic,O
hybrid,O
perovskites,B
is,O
an,O
effective,O
way,O
of,O
improving,I
the,O
performance,O
and,O
operational,O
stability,O
of,O
perovskite,B
solar,O
cells,O
(PSCs).,B
 ,O
We,O
find,O
that,O
one-step,O
deposition,O
of,O
the,O
perovskite,B
in,O
the,O
presence,O
of,O
AVAI,O
produces,I
highly,O
crystalline,O
films,O
with,O
"large,",O
micrometer-sized,O
grains,O
and,O
enhanced,O
charge-carrier,O
"lifetimes,",O
as,O
probed,O
by,O
transient,O
absorption,O
spectroscopy.,O
 ,O
In,O
this,O
"work,",O
Ti3C2Tx,B
MXene,O
nanosheets,O
are,O
applied,O
as,O
a,O
novel,O
type,O
of,O
electron,O
transport,O
layer,O
(ETL),O
in,O
low-temperature,O
processed,I
planar-structured,O
perovskite,B
solar,O
cells,O
(PSCs).,B
 ,O
"Interestingly,",O
simple,O
UV-ozone,O
treatment,O
of,O
the,O
metallic,O
Ti3C2Tx,B
that,O
increases,O
the,O
surface,O
TiO,O
bonds,O
without,O
any,O
change,O
in,O
its,O
bulk,O
properties,O
such,O
as,O
high,O
electron,O
mobility,O
improves,I
its,O
suitability,O
as,O
an,O
ETL.,O
 ,O
Improved,I
electron,O
transfer,O
and,O
suppressed,O
recombination,O
at,O
the,O
ETL/perovskite,B
interface,O
results,O
in,O
augmentation,O
of,O
the,O
power,O
conversion,O
efficiency,O
(PCE),O
from,O
5.00%,O
in,O
the,O
case,O
of,O
Ti3C2Tx,B
without,O
UV-ozone,O
treatment,O
to,O
the,O
champion,O
PCE,O
of,O
"17.17%,",O
achieved,O
using,O
the,O
Ti3C2Tx,B
film,O
after,O
30,O
min,O
of,O
UV-ozone,O
treatment.,O
 ,O
A,O
series,O
of,O
spiro-arranged,O
hole-transporting,O
materials,O
are,O
designed,O
and,O
synthesized,I
by,O
incorporating,O
a,O
substituted,O
phenylpyrazole,O
unit,O
to,O
the,O
orthogonal,O
dibenzosuberene,O
core,O
"unit,",O
which,O
are,O
named,O
as,O
THY-1,O
to,O
THY-5.,O
 ,O
A,O
perovskite,B
solar,O
cell,O
based,O
on,O
THY-5,O
exhibits,O
the,O
highest,O
power,O
conversion,O
efficiency,O
of,O
"15.83%,",B
which,O
is,O
comparable,O
to,O
that,O
of,O
the,O
"N2,N2,N2′,N2′,N7,N7,N7′,N7′-octakis(4-methoxyphenyl)-9,9′-spirobi[9H-fluorene]-2,2′,7,7′-tetramine",O
(Spiro-OMeTAD),O
reference,O
device,O
(16.22%),O
fabricated,I
using,O
identical,O
architecture...............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,O
 ,O
Improving,I
the,O
quality,O
of,O
the,O
perovskite,B
active,O
layer,O
is,O
crucial,O
to,O
obtaining,O
high,O
performance,O
perovskite,B
solar,O
cells,O
(PSCs).,B
 ,O
More,O
"specifically,",O
the,O
cell,O
efficiency,O
is,O
improved,I
from,O
17.82%,O
for,O
the,O
control,O
cell,O
without,O
formic,O
acid,O
to,O
19.81%,O
when,O
0.764 M,O
formic,O
acid,O
was,O
used.,O
 ,O
Formic,O
acid,O
has,O
also,O
been,O
added,I
into,O
a,O
CH3NH3PbI3,B
(MAPbI3),B
precursor,O
"solution,",O
which,O
exhibits,O
a,O
similar,O
effect,O
on,O
the,O
resulting,O
MAPbI3,B
films,O
and,O
solar,O
"cells,",O
with,O
efficiency,O
improved,I
from,O
16.07%,O
to,O
17.00%...............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,O
 ,O
Solar-grade,O
single,O
or,O
multiple,O
crystalline,O
wafers,O
are,O
needed,O
in,O
large,O
quantities,O
in,O
the,O
solar,O
cell,O
"industry,",O
and,O
are,O
generally,O
formed,O
by,O
a,O
top-down,O
process,I
from,O
crystal,O
"ingots,",O
which,O
causes,O
a,O
significant,O
waste,O
of,O
materials,O
and,O
energy,O
during,O
"slicing,",O
"polishing,",O
and,O
other,O
processing.,O
 ,O
Large-area,O
polydimethylsiloxane,O
(PDMS),O
films,O
with,O
variably,O
sized,O
moth-eye,O
structures,O
were,O
fabricated,I
to,O
improve,I
the,O
efficiency,O
of,O
perovskite,B
solar,O
cells.,O
 ,O
An,O
approach,O
that,O
incorporated,O
"photolithography,",O
bilayer,O
PDMS,O
deposition,O
and,O
replication,O
was,O
used,O
in,O
the,O
fabrication,I
process.,O
 ,O
The,O
synchronized,O
improvement,I
in,O
photovoltage,O
and,O
photocurrent,O
leads,O
to,O
an,O
inverted,O
CH3NH3PbI2.85Br0.15,B
planar,O
PVSC,O
device,O
with,O
power,O
conversion,O
efficiency,O
of,O
13.7%.,B
 ,O
To,O
deposit,O
uniform,O
CH3NH3PbI3−xClx,B
(MAPbI3−xClx),B
mixed,O
halide,O
perovskite,B
film,O
"reproducibly,",O
we,O
separated,O
the,O
conventional,O
process,I
to,O
formation,O
of,O
MAPbI3−xClx,B
mixed,O
halide,O
perovskite,B
powder,O
by,O
heat-treatment,O
process,I
and,O
deposition,O
of,O
MAPbI3−xClx,B
mixed,O
halide,O
perovskite,B
film,O
by,O
single,O
step,O
spin-coating.,O
 ,O
The,O
deviation,O
of,O
power,O
conversion,O
efficiency,O
of,O
MAPbI3−xClx,B
mixed,O
halide,O
perovskite,B
solar,O
cells,O
prepared,I
by,O
currently,O
proposed,O
method,O
and,O
conventional,O
method,O
was,O
13.75 ± 0.88%,B
and,O
"8.02 ± 1.65%,",O
"respectively,",O
because,O
more,O
uniform,O
MAPbI3−xClx,B
mixed,O
halide,O
perovskite,B
film,O
could,O
be,O
reproducibly,O
formed,O
by,O
separating,O
the,O
formation,O
process,I
of,O
mixed,O
halide,O
perovskite,B
powder,O
and,O
the,O
single,O
step,O
spin-coating,O
process.....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,O
 ,O
In,O
"addition,",O
the,O
fabrication,I
of,O
the,O
CuI,O
HTL,O
is,O
a,O
simple,O
and,O
time-saving,O
procedure,O
without,O
any,O
"post-treatment,",O
thus,O
making,O
it,O
a,O
promising,O
candidate,O
as,O
the,O
HTL,O
in,O
inverted,O
perovskite,B
solar,O
cells,O
and,O
a,O
potential,O
target,O
for,O
efficient,O
flexible,O
and,O
tandem,O
solar,O
cells..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,O
 ,O
Fundamental,O
understanding,O
on,O
the,O
crystallization,O
and,O
film,O
formation,O
processes,I
are,O
keys,O
to,O
overcome,O
those,O
challenges,O
but,O
not,O
yet,O
clearly,O
understood.,O
 ,O
In,O
this,O
"work,",O
an,O
efficient,O
and,O
stable,O
inverted,O
planar,O
perovskite,B
solar,O
cell,O
(PSC),B
with,O
water,O
additive,O
has,O
been,O
prepared,I
in,O
ambient,O
air.,O
 ,O
Adding,I
moderate,O
water,O
additive,O
to,O
CH3NH3PbI3−xClx,B
precursor,O
solution,O
leads,O
to,O
growth,O
in,O
quality,O
of,O
CH3NH3PbI3−xClx,B
"film,",O
because,O
the,O
boiling,O
point,O
of,O
water,O
is,O
lower,O
than,O
that,O
of,O
"N,",O
N-dimethylformamide.,O
 ,O
The,O
terahertz,O
transport,O
with,O
rather,O
long,O
dephasing,O
time,O
and,O
scattering,O
processes,I
due,O
to,O
discrete,O
terahertz,O
phonons,O
in,O
perovskites,B
are,O
distinct,O
from,O
conventional,O
photovoltaic,O
materials.,O
 ,O
With,O
the,O
perovskites,B
"self-passivation,",O
the,O
electron,O
lifetime,O
was,O
improved,I
10,O
times,O
in,O
comparison,O
with,O
the,O
controlled,O
sample.,O
 ,O
Compared,O
with,O
BLs,O
produced,I
using,O
the,O
spin-coating,O
(SC),O
"method,",O
BLs,O
produced,I
using,O
ED,O
exhibit,O
satisfactory,O
surface,O
"coverage,",O
even,O
with,O
a,O
film,O
thickness,O
of,O
29 nm.,O
 ,O
Evidence,O
from,O
cyclic,O
voltammetry,O
shows,O
that,O
an,O
ED,O
BL,O
suppresses,O
interfacial,O
recombination,O
more,O
profoundly,O
than,O
an,O
SC,O
BL,O
"does,",O
consequently,O
improving,I
the,O
photovoltaic,O
properties,O
of,O
the,O
PSC,B
significantly.,O
 ,O
"However,",O
the,O
poor,O
stability,O
of,O
CsSnX3,B
perovskites,B
has,O
so,O
far,O
prevented,O
the,O
fabrication,I
of,O
devices,O
that,O
can,O
withstand,O
sustained,O
operation,O
under,O
normal,O
conditions.,O
 ,O
According,O
to,O
the,O
bandgap,O
and,O
the,O
Shockley-Queisser,O
"limit,",O
such,O
inorganic,O
perovskite,B
solar,O
cell,O
with,O
higher,O
efficiency,O
and,O
pronounced,O
stability,O
can,O
be,O
expected,O
by,O
material,O
quality,O
improvement,I
and,O
device,O
engineering.............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,O
 ,O
"Here,",O
a,O
novel,O
HTL,O
consisted,O
of,O
mesoporous,O
NiO,O
nanosheet,O
(NS),O
was,O
fabricated,I
via,O
simple,O
hydrothermal,O
method.,O
 ,O
To,O
overcome,O
this,O
"drawback,",O
we,O
synthesized,I
a,O
copolymer,O
(P(SS-co-TFPMA)),O
 ,O
Lanthanide,O
complexes,O
show,O
a,O
broad,O
absorption,O
range,O
in,O
the,O
UV,O
region,O
and,O
can,O
down,O
convert,O
UV-light,O
into,O
visible-light;,O
"thus,",O
they,O
are,O
potentially,O
able,O
to,O
improve,I
the,O
device,O
performance,O
of,O
PSCs.,B
 ,O
"Herein,",O
we,O
report,O
the,O
fabrication,I
of,O
PSCs,B
with,O
a,O
novel,O
samarium,O
(Sm)-based,O
down,O
conversion,O
"nanomaterial,",O
Sr2CeO4:Sm3+,B
(SCOS).,O
 ,O
A,O
series,O
of,O
new,O
branched,O
hole,O
transporting,O
materials,O
(HTMs),O
containing,O
two,O
diphenylamine-substituted,O
carbazole,O
fragments,O
linked,O
by,O
a,O
nonconjugated,O
methylenebenzene,O
unit,O
is,O
synthesized,I
and,O
tested,O
in,O
perovskite,B
solar,O
cells.,O
 ,O
"Finally,",O
we,O
prove,O
that,O
uncontrolled,O
magnetic,O
fields,O
on,O
the,O
environment,O
of,O
preparation,I
can,O
severely,O
influence,O
the,O
reproducibility,O
of,O
results...............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,O
 ,O
In,O
this,O
"work,",O
we,O
utilized,O
the,O
electrospray,O
technique,O
to,O
deposit,O
the,O
solidified,O
crystal,O
precursors,O
on,O
the,O
substrate,O
to,O
investigate,O
the,O
transition,O
processes,I
in,O
forming,O
an,O
orthorhombic,O
methylammonium,O
lead,O
iodide,O
film,O
for,O
fabricating,I
perovskite,B
planar,O
heterojunction,O
solar,O
cells.,O
 ,O
The,O
formation,O
of,O
solidified,O
crystal,O
precursors,O
by,O
the,O
electrospray,O
technique,O
improves,I
the,O
de-wetting,O
of,O
the,O
perovskite,B
film,O
on,O
the,O
substrate.,O
 ,O
Judicious,O
selection,O
of,O
the,O
applied,O
voltage,O
in,O
the,O
electrospray,O
process,I
generates,O
crystal,O
precursors,O
of,O
the,O
appropriate,O
dimensions.,O
 ,O
The,O
hybrid,O
device,O
prepared,I
by,O
the,O
electrospray,O
technique,O
exhibits,O
a,O
power,O
conversion,O
efficiency,O
of,O
"9.3%,",B
a,O
short-circuit,O
current,O
of,O
19.71,O
mA,O
"cm−2,",O
an,O
open-circuit,O
voltage,O
of,O
0.87,O
"V,",O
and,O
a,O
fill,O
factor,O
of,O
0.55.,O
 ,O
We,O
demonstrate,O
that,O
the,O
application,O
of,O
MABr,O
additive,O
can,O
greatly,O
improve,I
the,O
quality,O
of,O
the,O
perovskite,B
film,O
by,O
diminishing,O
the,O
number,O
of,O
small,O
crystal,O
grains,O
to,O
form,O
large,O
"ones,",O
which,O
can,O
substantially,O
decrease,O
grain,O
boundaries,O
and,O
enable,O
direct,O
connection,O
of,O
electron-,O
and,O
hole-transport,O
layers,O
with,O
one,O
large,O
crystal,O
grain.,O
 ,O
These,O
changes,O
lead,O
to,O
enhanced,O
electron,O
transport,O
"rate,",O
suppressed,O
"recombination,",O
improved,I
photovoltaic,O
"performance,",O
and,O
reduced,O
hysteresis,O
of,O
the,O
device,O
assembled,O
using,O
the,O
perovskite,B
film,O
with,O
MABr,O
additive,O
compared,O
to,O
the,O
device,O
without,O
the,O
MABr,O
additive.,O
 ,O
"Here,",O
we,O
introduce,O
a,O
simple,O
"strategy,",O
through,O
a,O
small,O
increase,O
in,O
methylammonium,O
iodide,O
"(CH3NH3I,",B
"MAI),",O
molar,O
proportion,O
"(5%),",O
for,O
perovskite,B
fabrication,I
in,O
ambient,O
air,O
with,O
∼50%,O
relative,O
humidity.,O
 ,O
As,O
a,O
"result,",O
the,O
device,O
yields,O
improved,I
power,O
conversion,O
efficiency,O
from,O
14.06%,O
to,O
18.26%,O
with,O
reduced,O
hysteresis,O
and,O
higher,O
stability,O
under,O
AM1.5G,O
illumination,O
(100,O
mW,O
cm−2).,O
 ,O
"Here,",O
we,O
report,O
a,O
rapid,O
and,O
simple,O
process,I
to,O
prepare,I
perovskite,B
solar,O
cells,O
in,O
ambient,O
air,O
by,O
adding,I
2-pyridylthiourea,O
in,O
the,O
precursor,O
solution.,O
 ,O
2-Pyridylthiourea,O
can,O
not,O
only,O
promote,O
the,O
conversion,O
of,O
2-D,O
PbI2,O
to,O
tetragonal,O
CH3NH3PbI3,B
"crystals,",O
but,O
also,O
improve,I
the,O
quality,O
of,O
the,O
perovskite,B
absorber,O
layer,O
via,O
enhancing,O
the,O
uniformity,O
and,O
the,O
size,O
of,O
the,O
crystal,O
grains.,O
 ,O
The,O
perovskite,B
solar,O
cells,O
with,O
the,O
addition,O
of,O
2-pyridylthiourea,O
at,O
a,O
concentration,O
of,O
0.5,O
mg,O
mL−1,O
exhibited,O
a,O
remarkable,O
overall,O
power,O
conversion,O
efficiency,O
(PCE),O
of,O
"18.2%,",O
which,O
is,O
among,O
the,O
highest,O
PCE,O
of,O
CH3NH3PbI3-based,B
devices,O
fabricated,I
in,O
ambient,O
air.,O
 ,O
The,O
grafted-rGO,O
components,O
improved,I
the,O
cell,O
"characteristics,",O
whereas,O
the,O
bared,O
rGO,O
nanostructures,O
ruined,O
them.,O
 ,O
The,O
narrow,O
distribution,O
and,O
thereby,O
the,O
high,O
reproducibility,O
and,O
high,O
performance,O
in,O
perovskite + rGO-g-PDDT,B
photovoltaics,O
were,O
attributed,O
to,O
the,O
improved,I
morphology,O
and,O
enhanced,O
grain,O
size,O
(190 nm,O
vs,O
"400 nm),",O
progressed,O
optical,O
"absorbance,",O
and,O
enhanced,O
crystallinity,O
of,O
the,O
CH3NH3PbI3,B
perovskites,B
through,O
the,O
incorporation,O
of,O
rGO-g-PDDT,O
modifiers..............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,O
 ,O
To,O
improve,I
the,O
stability,O
and,O
performance,O
of,O
the,O
"device,",O
1 mol,O
%,O
CuSCN,O
was,O
innovatively,O
introduced,O
into,O
the,O
absorber,O
layer.,O
 ,O
In,O
the,O
"meantime,",O
the,O
hysteresis,O
and,O
stability,O
have,O
also,O
been,O
improved,I
effectively.,O
 ,O
This,O
result,O
indicates,O
that,O
CuSCN,O
has,O
great,O
potential,O
as,O
a,O
doping,O
to,O
improve,I
the,O
morphology,O
of,O
perovskite,B
films,O
and,O
enhance,O
the,O
performance,O
of,O
the,O
PSCs............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,B
 ,O
Here,O
we,O
present,O
unique,O
advantages,O
of,O
reactive,O
polyiodide,O
melts,O
for,O
solvent-,O
and,O
adduct-free,O
reactionary,O
fabrication,I
of,O
perovskite,B
films,O
exhibiting,O
excellent,O
quality,O
over,O
large,O
areas.,O
 ,O
In,O
this,O
"work,",O
the,O
preparation,I
and,O
characterization,O
of,O
MAPbI3,B
nanoparticles,O
(NPs),O
on,O
TiOx/indium,O
tin,O
oxide,O
glass,O
substrates,O
using,O
a,O
simple,O
spin-coating,O
technique,O
have,O
been,O
investigated.,O
 ,O
The,O
NPs,O
were,O
prepared,I
by,O
spin-coating,O
solutions,O
of,O
MAPbI3,B
and,O
the,O
ionic,O
liquid,O
(IL),O
1-hexyl-3-methylimidazolium,B
chloride,O
in,O
"N,N-dimethylformamide.",O
 ,O
The,O
presence,O
of,O
pinholes,O
may,O
play,O
a,O
major,O
role,O
in,O
the,O
migration,O
processes,I
of,O
the,O
LiTFSI,O
within,O
the,O
spiro-MeOTAD,O
film,O
as,O
well,O
as,O
on,O
the,O
degradation,O
processes,I
of,O
solar,O
cells.,O
 ,O
This,O
is,O
further,O
confirmed,O
by,O
the,O
rapid,O
decreasing,O
efficiency,O
of,O
perovskite,B
solar,O
cells,O
with,O
solution,O
prepared,I
doped,O
spiro-MeOTAD,O
layers,O
when,O
exposed,O
to,O
air.................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,O
 ,O
"Herein,",O
the,O
black,O
orthorhombic,O
γ,O
phase,O
based,O
CsPbI3,B
is,O
successfully,O
fabricated,I
with,O
its,O
performance,O
further,O
optimized,O
by,O
doping,O
chlorine,O
ions.,O
 ,O
It,O
is,O
found,O
that,O
the,O
chlorine,O
incorporation,O
improves,I
crystallization,O
dynamics,O
for,O
favorable,O
surface,O
morphology,O
and,O
crystalline,O
orientation.,O
 ,O
In,O
particular,O
by,O
doping,O
3 mol%,B
chlorine,O
into,O
the,O
γ-CsPbI3,B
"film,",O
its,O
trap,O
density,O
is,O
minimized,O
with,O
enhanced,O
black,O
phase,O
stability,O
and,O
much,O
improved,I
thin,O
film,O
"characteristics,",O
including,O
"conductivities,",O
electron,O
and,O
hole,O
mobilities.,O
 ,O
These,O
results,O
demonstrate,O
that,O
heteroacene,O
can,O
be,O
an,O
excellent,O
building,O
block,O
to,O
prepare,I
alternative,O
HTMs,O
for,O
perovskite,B
solar,O
cells,O
and,O
hold,O
promise,O
for,O
further,O
advancement,O
through,O
fine-tuning,O
the,O
molecular,O
structure.......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,O
 ,O
CH3NH3PbI3,B
planar-structure,O
perovskite,B
solar,O
cells,O
were,O
fabricated,I
with,O
the,O
configuration,O
FTO/ZnO/CH3NH3PbI3/Au.,B
 ,O
ZnO,O
nanoparticles,O
were,O
synthesized,I
by,O
the,O
precipitation,O
method.,O
 ,O
Three,O
different,O
deposition,O
methods,O
including,O
"spin-coating,",O
spraying,O
and,O
successive,O
ionic,O
layer,O
adsorption,O
and,O
reaction,O
(SILAR),O
were,O
applied,O
to,O
fabricate,I
the,O
ZnO,O
films,O
as,O
electron,O
transport,O
layers.,O
 ,O
This,O
study,O
demonstrates,O
the,O
versatility,O
of,O
the,O
spray,O
and,O
SILAR,O
coating,O
methods,O
and,O
their,O
potential,O
for,O
fabricating,I
"low-cost,",O
large,O
"scale,",O
flexible,O
and,O
mass,O
produced,I
perovskite,B
solar,O
cells...............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,O
 ,O
