text,sentence_idx,abstract_idx,label
with,4,0,O
further,4,0,O
improv,4,0,I
of,4,0,O
the,4,0,O
backbon,4,0,O
design,4,0,O
through,4,0,O
the,4,0,O
incorpor,4,0,O
of,4,0,O
a,4,0,O
rigid,4,0,O
acetylen,4,0,O
spacer,4,0,O
",",4,0,O
the,4,0,O
result,4,0,O
polym,4,0,O
substanti,4,0,O
exhibit,4,0,O
an,4,0,O
enhanc,4,0,O
electron-transport,4,0,O
properti,4,0,O
.,4,0,O
upon,5,0,O
use,5,0,O
as,5,0,O
cil,5,0,O
",",5,0,O
high,5,0,O
power,5,0,O
convers,5,0,O
effici,5,0,O
(,5,0,O
pce,5,0,O
),5,0,O
of,5,0,O
10.1,5,0,O
%,5,0,O
and,5,0,O
15.2,5,0,O
%,5,0,O
were,5,0,O
",",5,0,O
respect,5,0,O
",",5,0,O
achiev,5,0,O
in,5,0,O
polym,5,0,O
and,5,0,O
perovskit,5,0,B
solar,5,0,O
cell,5,0,O
.,5,0,O
importantli,6,0,O
",",6,0,O
these,6,0,O
newli,6,0,O
develop,6,0,O
n-type,6,0,O
polym,6,0,O
were,6,0,O
allow,6,0,O
to,6,0,O
be,6,0,O
process,6,0,I
over,6,0,O
a,6,0,O
broad,6,0,O
thick,6,0,O
rang,6,0,O
of,6,0,O
cil,6,0,O
in,6,0,O
photovolta,6,0,O
devic,6,0,O
",",6,0,O
and,6,0,O
a,6,0,O
promin,6,0,O
pce,6,0,O
of,6,0,O
over,6,0,O
8,6,0,O
%,6,0,O
for,6,0,O
polym,6,0,O
solar,6,0,O
cell,6,0,O
and,6,0,O
13.5,6,0,B
%,6,0,O
for,6,0,O
perovskit,6,0,B
solar,6,0,O
cell,6,0,O
can,6,0,O
be,6,0,O
achiev,6,0,O
with,6,0,O
the,6,0,O
thick,6,0,O
interlay,6,0,O
over,6,0,O
100,6,0,O
nm,6,0,O
",",6,0,O
which,6,0,O
is,6,0,O
benefici,6,0,O
for,6,0,O
roll-to-rol,6,0,O
coat,6,0,O
process,6,0,I
.,6,0,O
our,7,0,O
find,7,0,O
contribut,7,0,O
toward,7,0,O
a,7,0,O
better,7,0,O
understand,7,0,O
of,7,0,O
the,7,0,O
structure–perform,7,0,O
relationship,7,0,O
between,7,0,O
cil,7,0,O
materi,7,0,O
design,7,0,O
and,7,0,O
solar,7,0,O
cell,7,0,O
perform,7,0,O
",",7,0,O
and,7,0,O
provid,7,0,O
import,7,0,O
insight,7,0,O
and,7,0,O
guidelin,7,0,O
for,7,0,O
the,7,0,O
design,7,0,O
of,7,0,O
high-perform,7,0,O
n-type,7,0,O
cil,7,0,O
materi,7,0,O
for,7,0,O
organ,7,0,O
and,7,0,O
perovskit,7,0,B
optoelectron,7,0,O
devic,7,0,O
.,7,0,O
in,8,1,O
thi,8,1,O
work,8,1,O
",",8,1,O
two,8,1,O
novel,8,1,O
polymer,8,1,O
semiconductor,8,1,O
(,8,1,O
d2,8,1,O
and,8,1,O
d3,8,1,O
),8,1,O
",",8,1,O
with,8,1,O
perfluorin,8,1,O
side,8,1,O
chain,8,1,O
in,8,1,O
their,8,1,O
backbon,8,1,O
",",8,1,O
were,8,1,O
develop,8,1,O
.,8,1,O
moreov,9,1,O
",",9,1,O
a,9,1,O
novel,9,1,O
small,9,1,O
molecul,9,1,O
(,9,1,O
d1,9,1,O
),9,1,O
",",9,1,O
with,9,1,O
a,9,1,O
similar,9,1,O
structur,9,1,O
to,9,1,O
polym,9,1,O
d2,9,1,O
and,9,1,O
d3,9,1,O
",",9,1,O
wa,9,1,O
also,9,1,O
design,9,1,O
for,9,1,O
comparison,9,1,O
purpos,9,1,O
.,9,1,O
compound,10,1,O
d1–d3,10,1,B
were,10,1,O
success,10,1,O
synthes,10,1,O
",",10,1,O
complet,10,1,O
character,10,1,O
and,10,1,O
use,10,1,O
as,10,1,O
addit,10,1,O
in,10,1,O
perovskit,10,1,B
solar,10,1,O
cell,10,1,O
(,10,1,O
psc,10,1,O
),10,1,O
.,10,1,O
the,11,1,O
novel,11,1,O
materi,11,1,O
contain,11,1,O
26,11,1,O
fluorin,11,1,O
atom,11,1,O
per,11,1,O
unit,11,1,O
",",11,1,O
which,11,1,O
is,11,1,O
the,11,1,O
largest,11,1,O
amount,11,1,O
of,11,1,O
fluorin,11,1,O
atom,11,1,O
report,11,1,O
for,11,1,O
addit,11,1,O
in,11,1,O
psc,11,1,O
.,11,1,O
in,12,1,O
thi,12,1,O
regard,12,1,O
",",12,1,O
d1–d3,12,1,B
were,12,1,O
incorpor,12,1,O
into,12,1,O
the,12,1,O
perovskit,12,1,B
layer,12,1,O
as,12,1,O
addit,12,1,O
and,12,1,O
their,12,1,O
effect,12,1,O
on,12,1,O
the,12,1,O
film,12,1,O
format,12,1,O
",",12,1,O
stabil,12,1,O
and,12,1,O
perform,12,1,O
of,12,1,O
psc,12,1,O
wa,12,1,O
studi,12,1,O
.,12,1,O
as,13,1,O
a,13,1,O
result,13,1,O
",",13,1,O
d1–d3-base,13,1,B
devic,13,1,O
show,13,1,O
veri,13,1,O
good,13,1,O
perform,13,1,O
compar,13,1,O
to,13,1,O
devic,13,1,O
fabric,13,1,I
without,13,1,O
addit,13,1,O
and,13,1,O
an,13,1,O
increas,13,1,O
stabil,13,1,O
.,13,1,O
thu,14,1,O
",",14,1,O
d1-,14,1,O
and,14,1,O
d2-fabric,14,1,O
devic,14,1,O
retain,14,1,O
94,14,1,O
and,14,1,O
85,14,1,O
%,14,1,O
of,14,1,O
their,14,1,O
initi,14,1,O
power,14,1,O
",",14,1,O
respect,14,1,O
",",14,1,O
after,14,1,O
80,14,1,O
min,14,1,O
under,14,1,O
a,14,1,O
bia,14,1,O
",",14,1,O
while,14,1,O
the,14,1,O
refer,14,1,O
devic,14,1,O
broke,14,1,O
down,14,1,O
complet,14,1,O
.,14,1,O
these,15,1,O
result,15,1,O
illustr,15,1,O
the,15,1,O
extraordinari,15,1,O
protect,15,1,O
action,15,1,O
of,15,1,O
the,15,1,O
perfluorin,15,1,O
polym,15,1,O
against,15,1,O
humid,15,1,O
and,15,1,O
oxygen,15,1,O
",",15,1,O
even,15,1,O
at,15,1,O
a,15,1,O
low,15,1,O
concentr,15,1,O
of,15,1,O
2,15,1,O
mg,15,1,O
ml−1,15,1,O
use,15,1,O
in,15,1,O
our,15,1,O
experi,15,1,O
.,15,1,O
the,16,2,O
photovolta,16,2,O
perform,16,2,O
of,16,2,O
perovskit,16,2,B
solar,16,2,O
cell,16,2,O
(,16,2,O
psc,16,2,O
),16,2,O
larg,16,2,O
depend,16,2,O
on,16,2,O
the,16,2,O
crystal,16,2,O
grain,16,2,O
size,16,2,O
of,16,2,O
perovskit,16,2,B
film,16,2,O
.,16,2,O
here,17,2,O
",",17,2,O
we,17,2,O
use,17,2,O
the,17,2,O
mixtur,17,2,O
of,17,2,O
n-octyltrimethoxysilan,17,2,O
(,17,2,O
ote,17,2,O
),17,2,O
and,17,2,O
aminopropyltrimethoxysilan,17,2,O
(,17,2,O
apt,17,2,O
),17,2,O
to,17,2,O
tailor,17,2,O
the,17,2,O
surfac,17,2,O
termin,17,2,O
state,17,2,O
of,17,2,O
sno2,17,2,O
electron,17,2,O
transport,17,2,O
layer,17,2,O
",",17,2,O
and,17,2,O
demonstr,17,2,O
the,17,2,O
crystal,17,2,O
grain,17,2,O
size,17,2,O
of,17,2,O
perovskit,17,2,B
is,17,2,O
remark,17,2,O
enlarg,17,2,O
.,17,2,O
the,18,2,O
perovskit,18,2,B
film,18,2,O
with,18,2,O
larg,18,2,O
crystal,18,2,O
size,18,2,O
show,18,2,O
a,18,2,O
lower,18,2,O
non-rad,18,2,O
recombin,18,2,O
densiti,18,2,O
and,18,2,O
a,18,2,O
longer,18,2,O
charg,18,2,O
lifetim,18,2,O
.,18,2,O
the,19,2,O
power,19,2,O
convers,19,2,O
effici,19,2,O
of,19,2,O
psc,19,2,O
is,19,2,O
eventu,19,2,O
improv,19,2,I
from,19,2,O
18.21,19,2,O
%,19,2,O
to,19,2,O
20.3,19,2,B
%,19,2,O
.,19,2,O
the,20,2,O
propos,20,2,O
method,20,2,O
may,20,2,O
also,20,2,O
impact,20,2,O
other,20,2,O
optoelectron,20,2,O
devic,20,2,O
base,20,2,O
perovskit,20,2,B
film,20,2,O
.,20,2,O
two-dimension,21,3,O
(,21,3,O
2d,21,3,O
),21,3,O
metal-halid,21,3,O
perovskit,21,3,B
with,21,3,O
altern,21,3,O
cation,21,3,O
in,21,3,O
the,21,3,O
interlay,21,3,O
space,21,3,O
(,21,3,O
aci,21,3,O
),21,3,O
have,21,3,O
demonstr,21,3,O
great,21,3,O
potenti,21,3,O
in,21,3,O
photovolta,21,3,O
.,21,3,O
the,22,3,O
balanc,22,3,O
between,22,3,O
stabil,22,3,O
and,22,3,O
effici,22,3,O
could,22,3,O
be,22,3,O
tailor,22,3,O
by,22,3,O
vari,22,3,O
the,22,3,O
distanc,22,3,O
between,22,3,O
the,22,3,O
inorgan,22,3,O
slab,22,3,O
.,22,3,O
howev,23,3,O
",",23,3,O
the,23,3,O
effici,23,3,O
are,23,3,O
still,23,3,O
low,23,3,O
due,23,3,O
to,23,3,O
the,23,3,O
low,23,3,O
carrier,23,3,O
mobil,23,3,O
and,23,3,O
random,23,3,O
crystal,23,3,O
orient,23,3,O
in,23,3,O
the,23,3,O
defect,23,3,O
aci,23,3,O
film,23,3,O
.,23,3,O
furthermor,24,3,O
",",24,3,O
how,24,3,O
the,24,3,O
aci,24,3,O
multidimension,24,3,O
perovskit,24,3,B
assembl,24,3,O
in,24,3,O
the,24,3,O
solution-process,24,3,O
film,24,3,O
is,24,3,O
still,24,3,O
unclear,24,3,O
.,24,3,O
herein,25,3,O
",",25,3,O
we,25,3,O
demonstr,25,3,O
nanoscal,25,3,O
hybrid,25,3,O
multidimension,25,3,O
(,25,3,O
ga,25,3,O
),25,3,O
(,25,3,O
ma,25,3,O
),25,3,O
3pb3i10,25,3,B
aci,25,3,O
(,25,3,O
guanidinium,25,3,O
=,25,3,O
ga,25,3,O
",",25,3,O
methylammonium,25,3,O
=,25,3,O
ma,25,3,O
),25,3,O
perovskit,25,3,B
with,25,3,O
vertic,25,3,O
stack,25,3,O
microcryst,25,3,O
and,25,3,O
preferenti,25,3,O
crystal,25,3,O
orient,25,3,O
.,25,3,O
in,26,3,O
each,26,3,O
microcryst,26,3,O
",",26,3,O
the,26,3,O
low-dimension,26,3,O
aci,26,3,O
are,26,3,O
assembl,26,3,O
within,26,3,O
3d,26,3,O
perovskit,26,3,B
nanoscal,26,3,O
network,26,3,O
.,26,3,O
such,27,3,O
nanoscal,27,3,O
heterojunct,27,3,O
prompt,27,3,O
ultrafast,27,3,O
(,27,3,O
~0.3,27,3,B
ps,27,3,O
),27,3,O
charg,27,3,O
carrier,27,3,O
local,27,3,O
from,27,3,O
aci,27,3,O
to,27,3,O
3d,27,3,O
perovskit,27,3,B
and,27,3,O
the,27,3,O
subsequ,27,3,O
effici,27,3,O
charg,27,3,O
carrier,27,3,O
extract,27,3,O
from,27,3,O
the,27,3,O
3d,27,3,O
network,27,3,O
to,27,3,O
the,27,3,O
extract,27,3,O
layer,27,3,O
.,27,3,O
base,28,3,O
on,28,3,O
optim,28,3,O
aci,28,3,O
film,28,3,O
",",28,3,O
record,28,3,O
high-effici,28,3,O
(,28,3,O
>,28,3,O
16,28,3,O
%,28,3,O
),28,3,O
and,28,3,O
high-stabl,28,3,O
planar,28,3,O
perovskit,28,3,B
cell,28,3,O
are,28,3,O
achiev,28,3,O
.,28,3,O
our,29,3,O
result,29,3,O
provid,29,3,O
new,29,3,O
insight,29,3,O
into,29,3,O
the,29,3,O
crystal,29,3,O
growth,29,3,O
and,29,3,O
carrier,29,3,O
kinet,29,3,O
of,29,3,O
the,29,3,O
aci,29,3,O
perovskit,29,3,B
solar,29,3,O
cell,29,3,O
.,29,3,O
low-temperatur,30,4,O
solution-process,30,4,O
sno2-bas,30,4,O
perovskit,30,4,B
solar,30,4,O
cell,30,4,O
(,30,4,O
psc,30,4,O
),30,4,O
have,30,4,O
achiev,30,4,O
great,30,4,O
progress,30,4,O
recent,30,4,O
",",30,4,O
but,30,4,O
they,30,4,O
still,30,4,O
suffer,30,4,O
from,30,4,O
a,30,4,O
critic,30,4,O
drawback,30,4,O
due,30,4,O
to,30,4,O
the,30,4,O
defect,30,4,O
at,30,4,O
the,30,4,O
sno2/perovskit,30,4,B
interfac,30,4,O
.,30,4,O
herein,31,4,O
",",31,4,O
we,31,4,O
report,31,4,O
a,31,4,O
facil,31,4,O
acet,31,4,O
acid,31,4,O
post-treat,31,4,O
strategi,31,4,O
to,31,4,O
effect,31,4,O
passiv,31,4,O
the,31,4,O
surfac,31,4,O
defect,31,4,O
.,31,4,O
with,32,4,O
an,32,4,O
optim,32,4,O
concentr,32,4,O
of,32,4,O
acet,32,4,O
acid,32,4,O
",",32,4,O
the,32,4,O
averag,32,4,O
power,32,4,O
convers,32,4,O
effici,32,4,O
(,32,4,O
pce,32,4,O
),32,4,O
of,32,4,O
the,32,4,O
planar-typ,32,4,O
tripl,32,4,O
cation,32,4,O
psc,32,4,O
is,32,4,O
greatli,32,4,O
increas,32,4,O
from,32,4,O
18.57,32,4,O
%,32,4,O
to,32,4,O
20.33,32,4,B
%,32,4,O
.,32,4,O
the,33,4,O
champion,33,4,O
devic,33,4,O
show,33,4,O
a,33,4,O
pce,33,4,O
of,33,4,O
20.56,33,4,O
%,33,4,O
.,33,4,O
in,34,4,O
addit,34,4,O
",",34,4,O
the,34,4,O
univers,34,4,O
of,34,4,O
thi,34,4,O
passiv,34,4,O
strategi,34,4,O
is,34,4,O
doubl,34,4,O
confirm,34,4,O
by,34,4,O
achiev,34,4,O
an,34,4,O
enhanc,34,4,O
averag,34,4,O
pce,34,4,O
from,34,4,O
19.52,34,4,O
%,34,4,O
to,34,4,O
21.64,34,4,O
%,34,4,O
for,34,4,O
sequenti,34,4,O
method,34,4,O
deposit,34,4,O
dual,34,4,O
cation,34,4,O
psc,34,4,O
",",34,4,O
with,34,4,O
a,34,4,O
lead,34,4,O
pce,34,4,O
of,34,4,O
21.95,34,4,O
%,34,4,O
.,34,4,O
our,35,4,O
work,35,4,O
demonstr,35,4,O
an,35,4,O
effect,35,4,O
passiv,35,4,O
strategi,35,4,O
for,35,4,O
sno2-bas,35,4,O
planar-typ,35,4,O
psc,35,4,O
",",35,4,O
which,35,4,O
will,35,4,O
benefit,35,4,O
the,35,4,O
develop,35,4,O
of,35,4,O
high-effici,35,4,O
psc,35,4,O
.,35,4,O
hybrid,36,5,O
perovskit,36,5,B
compound,36,5,O
as,36,5,O
methylammonium,36,5,O
lead,36,5,O
halid,36,5,O
are,36,5,O
current,36,5,O
been,36,5,O
investig,36,5,O
for,36,5,O
differ,36,5,O
optoelectron,36,5,O
applic,36,5,O
.,36,5,O
ch3nh3pbbr3,37,5,B
is,37,5,O
a,37,5,O
promis,37,5,O
member,37,5,O
becaus,37,5,O
of,37,5,O
it,37,5,O
electron,37,5,O
structur,37,5,O
and,37,5,O
larg,37,5,O
bandgap,37,5,O
that,37,5,O
give,37,5,O
rise,37,5,O
to,37,5,O
a,37,5,O
high,37,5,O
open,37,5,O
circuit,37,5,O
voltag,37,5,O
.,37,5,O
although,38,5,O
higher,38,5,O
perform,38,5,O
can,38,5,O
result,38,5,O
by,38,5,O
use,38,5,O
sophist,38,5,O
process,38,5,I
",",38,5,O
one-step,38,5,O
method,38,5,O
are,38,5,O
particularli,38,5,O
interest,38,5,O
becaus,38,5,O
of,38,5,O
their,38,5,O
easi,38,5,O
implement,38,5,O
.,38,5,O
solar,39,5,O
cell,39,5,O
base,39,5,O
on,39,5,O
ch3nh3pbbr3,39,5,B
are,39,5,O
fabric,39,5,I
use,39,5,O
one-step,39,5,O
spin,39,5,O
coat,39,5,O
deposit,39,5,O
.,39,5,O
remark,40,5,O
effect,40,5,O
on,40,5,O
the,40,5,O
morpholog,40,5,O
",",40,5,O
structur,40,5,O
",",40,5,O
optic,40,5,O
and,40,5,O
electr,40,5,O
properti,40,5,O
is,40,5,O
observ,40,5,O
by,40,5,O
chang,40,5,O
the,40,5,O
molar,40,5,O
ratio,40,5,O
of,40,5,O
the,40,5,O
precursor,40,5,O
.,40,5,O
we,41,6,O
report,41,6,O
the,41,6,O
that,41,6,O
the,41,6,O
crystallin,41,6,O
and,41,6,O
grain,41,6,O
size,41,6,O
of,41,6,O
perovskit,41,6,B
film,41,6,O
could,41,6,O
be,41,6,O
systemat,41,6,O
tailor,41,6,O
by,41,6,O
modul,41,6,O
the,41,6,O
stoichiometri,41,6,O
of,41,6,O
the,41,6,O
precursor,41,6,O
solut,41,6,O
in,41,6,O
the,41,6,O
hot-cast,41,6,O
process,41,6,I
under,41,6,O
ambient,41,6,O
condit,41,6,O
with,41,6,O
a,41,6,O
rel,41,6,O
humid,41,6,O
of,41,6,O
40,41,6,O
%,41,6,O
.,41,6,O
it,42,6,O
wa,42,6,O
found,42,6,O
that,42,6,O
a,42,6,O
slight,42,6,O
excess,42,6,O
of,42,6,O
methylammonium,42,6,O
iodid,42,6,O
(,42,6,O
mai,42,6,O
),42,6,O
in,42,6,O
the,42,6,O
precursor,42,6,O
solut,42,6,O
could,42,6,O
effect,42,6,O
compens,42,6,O
the,42,6,O
mai,42,6,O
loss,42,6,O
due,42,6,O
to,42,6,O
the,42,6,O
high,42,6,O
substrat,42,6,O
temperatur,42,6,O
.,42,6,O
a,43,6,O
signific,43,6,O
increas,43,6,O
in,43,6,O
the,43,6,O
grain,43,6,O
size,43,6,O
and,43,6,O
crystallin,43,6,O
of,43,6,O
the,43,6,O
perovskit,43,6,B
film,43,6,O
wa,43,6,O
observ,43,6,O
togeth,43,6,O
with,43,6,O
a,43,6,O
decreas,43,6,O
in,43,6,O
defect,43,6,O
densiti,43,6,O
and,43,6,O
a,43,6,O
carrier,43,6,O
concentr,43,6,O
enhanc,43,6,O
in,43,6,O
mai-rich,43,6,O
sampl,43,6,O
.,43,6,O
the,44,6,O
correspond,44,6,O
devic,44,6,O
exhibit,44,6,O
a,44,6,O
notabl,44,6,O
increas,44,6,O
in,44,6,O
fill,44,6,O
factor,44,6,O
(,44,6,O
up,44,6,O
to,44,6,O
80.70,44,6,O
%,44,6,O
),44,6,O
and,44,6,O
short-circuit,44,6,O
current,44,6,O
densiti,44,6,O
.,44,6,O
in,45,6,O
addit,45,6,O
",",45,6,O
in,45,6,O
mai-defici,45,6,O
sampl,45,6,O
",",45,6,O
an,45,6,O
enrich,45,6,O
of,45,6,O
pbi2,45,6,O
at,45,6,O
the,45,6,O
grain,45,6,O
boundari,45,6,O
wa,45,6,O
directli,45,6,O
observ,45,6,O
by,45,6,O
optic,45,6,O
microscopi,45,6,O
and,45,6,O
laser,45,6,O
confoc,45,6,O
microscopi,45,6,O
.,45,6,O
time-resolv,46,6,O
photoluminesc,46,6,O
spectroscopi,46,6,O
reveal,46,6,O
an,46,6,O
increas,46,6,O
in,46,6,O
the,46,6,O
charg,46,6,O
carrier,46,6,O
lifetim,46,6,O
in,46,6,O
the,46,6,O
mai-defici,46,6,O
sampl,46,6,O
",",46,6,O
which,46,6,O
wa,46,6,O
in,46,6,O
line,46,6,O
with,46,6,O
the,46,6,O
previou,46,6,O
result,46,6,O
with,46,6,O
a,46,6,O
small,46,6,O
amount,46,6,O
of,46,6,O
excess,46,6,O
pbi2,46,6,O
in,46,6,O
the,46,6,O
perovskit,46,6,B
film,46,6,O
.,46,6,O
thi,47,6,O
work,47,6,O
highlight,47,6,O
a,47,6,O
new,47,6,O
strategi,47,6,O
to,47,6,O
prepar,47,6,I
high-qual,47,6,O
perovskit,47,6,B
thin,47,6,O
film,47,6,O
with,47,6,O
excel,47,6,O
crystal,47,6,O
qualiti,47,6,O
under,47,6,O
ambient,47,6,O
condit,47,6,O
.,47,6,O
tin-bas,48,7,O
perovskit,48,7,B
have,48,7,O
exhibit,48,7,O
high,48,7,O
potenti,48,7,O
for,48,7,O
effici,48,7,O
photovolta,48,7,O
applic,48,7,O
due,48,7,O
to,48,7,O
their,48,7,O
outstand,48,7,O
optoelectr,48,7,O
properti,48,7,O
.,48,7,O
howev,49,7,O
",",49,7,O
the,49,7,O
extrem,49,7,O
undesir,49,7,O
instabl,49,7,O
significantli,49,7,O
hinder,49,7,O
their,49,7,O
develop,49,7,O
and,49,7,O
further,49,7,O
commerci,49,7,O
process,49,7,I
.,49,7,O
a,50,7,O
novel,50,7,O
tin-bas,50,7,O
reduced-dimension,50,7,O
(,50,7,O
quasi-2d,50,7,O
),50,7,O
perovskit,50,7,B
is,50,7,O
report,50,7,O
here,50,7,O
by,50,7,O
use,50,7,O
5-ammoniumvaler,50,7,O
acid,50,7,O
(,50,7,O
5-ava+,50,7,O
),50,7,O
as,50,7,O
the,50,7,O
organ,50,7,O
spacer,50,7,O
.,50,7,O
it,51,7,O
is,51,7,O
demonstr,51,7,O
that,51,7,O
by,51,7,O
introduc,51,7,O
appropri,51,7,O
amount,51,7,O
of,51,7,O
ammonium,51,7,O
chlorid,51,7,O
(,51,7,O
nh4cl,51,7,O
),51,7,O
as,51,7,O
addit,51,7,O
",",51,7,O
highli,51,7,O
vertic,51,7,O
orient,51,7,O
tin-bas,51,7,O
quasi-2d,51,7,O
perovskit,51,7,B
film,51,7,O
are,51,7,O
obtain,51,7,O
",",51,7,O
which,51,7,O
is,51,7,O
prove,51,7,O
through,51,7,O
the,51,7,O
graze,51,7,O
incid,51,7,O
wide-angl,51,7,O
x-ray,51,7,O
scatter,51,7,O
character,51,7,O
.,51,7,O
in,52,7,O
particular,52,7,O
",",52,7,O
thi,52,7,O
approach,52,7,O
is,52,7,O
confirm,52,7,O
to,52,7,O
be,52,7,O
a,52,7,O
univers,52,7,O
method,52,7,O
to,52,7,O
deliv,52,7,O
highli,52,7,O
vertic,52,7,O
orient,52,7,O
tin-bas,52,7,O
quasi-2d,52,7,O
perovskit,52,7,B
with,52,7,O
variou,52,7,O
spacer,52,7,O
.,52,7,O
the,53,7,O
highli,53,7,O
order,53,7,O
vertic,53,7,O
orient,53,7,O
perovskit,53,7,B
film,53,7,O
significantli,53,7,O
improv,53,7,I
the,53,7,O
charg,53,7,O
collect,53,7,O
effici,53,7,O
between,53,7,O
two,53,7,O
electrod,53,7,O
.,53,7,O
with,54,7,O
the,54,7,O
optim,54,7,O
nh4cl,54,7,O
concentr,54,7,O
",",54,7,O
the,54,7,O
solar,54,7,O
cell,54,7,O
employ,54,7,O
quasi-2d,54,7,O
perovskit,54,7,B
",",54,7,O
ava2fan−1snni3n+1,54,7,B
(,54,7,O
<,54,7,O
n,54,7,O
>,54,7,O
=,54,7,O
5,54,7,O
),54,7,O
",",54,7,O
as,54,7,O
light,54,7,O
absorb,54,7,O
deliv,54,7,O
a,54,7,O
power,54,7,O
convers,54,7,O
effici,54,7,O
up,54,7,O
to,54,7,O
8.71,54,7,O
%,54,7,O
.,54,7,O
the,55,7,O
work,55,7,O
pave,55,7,O
the,55,7,O
way,55,7,O
for,55,7,O
further,55,7,O
employ,55,7,O
highli,55,7,O
vertic,55,7,O
orient,55,7,O
tin-bas,55,7,O
quasi-2d,55,7,O
perovskit,55,7,B
film,55,7,O
for,55,7,O
highli,55,7,O
effici,55,7,O
and,55,7,O
stabl,55,7,O
photovolta,55,7,O
.,55,7,O
to,56,8,O
improv,56,8,I
the,56,8,O
photovolta,56,8,O
perform,56,8,O
(,56,8,O
both,56,8,O
effici,56,8,O
and,56,8,O
stabil,56,8,O
),56,8,O
in,56,8,O
hybrid,56,8,O
organic–inorgan,56,8,O
halid,56,8,O
perovskit,56,8,B
solar,56,8,O
cell,56,8,O
",",56,8,O
perovskit,56,8,B
lattic,56,8,O
distort,56,8,O
is,56,8,O
investig,56,8,O
with,56,8,O
regard,56,8,O
to,56,8,O
residu,56,8,O
stress,56,8,O
(,56,8,O
and,56,8,O
strain,56,8,O
),56,8,O
in,56,8,O
the,56,8,O
polycrystallin,56,8,O
thin,56,8,O
film,56,8,O
.,56,8,O
it,57,8,O
is,57,8,O
reveal,57,8,O
that,57,8,O
residu,57,8,O
stress,57,8,O
is,57,8,O
concentr,57,8,O
at,57,8,O
the,57,8,O
surfac,57,8,O
of,57,8,O
the,57,8,O
as-prepar,57,8,O
film,57,8,O
",",57,8,O
and,57,8,O
an,57,8,O
effici,57,8,O
method,57,8,O
is,57,8,O
further,57,8,O
develop,57,8,O
to,57,8,O
releas,57,8,O
thi,57,8,O
interfaci,57,8,O
stress,57,8,O
by,57,8,O
a,57,8,O
site,57,8,O
cation,57,8,O
alloy,57,8,O
.,57,8,O
thi,58,8,O
result,58,8,O
in,58,8,O
lattic,58,8,O
reconstruct,58,8,O
at,58,8,O
the,58,8,O
surfac,58,8,O
of,58,8,O
polycrystallin,58,8,O
thin,58,8,O
film,58,8,O
",",58,8,O
which,58,8,O
in,58,8,O
turn,58,8,O
result,58,8,O
in,58,8,O
low,58,8,O
elast,58,8,O
modulu,58,8,O
.,58,8,O
thu,59,8,O
",",59,8,O
a,59,8,O
“,59,8,O
bone-joint,59,8,O
”,59,8,O
configur,59,8,O
is,59,8,O
construct,59,8,O
within,59,8,O
the,59,8,O
